Order ID,Ship Date,Delivery Status,Carrier
O000241,2023-04-19,In Transit,UPS
O000242,2023-11-08,Delayed,FedEx
O000243,2023-04-22,Delayed,DHL
O000244,2023-10-06,In Transit,FedEx
O000245,2023-11-09,Shipped,FedEx
O000246,2023-09-13,Delayed,DHL
O000247,2023-02-03,Shipped,DHL
O000248,2023-05-05,Delivered,UPS
O000249,2023-09-21,Delayed,FedEx
O000250,2023-04-25,In Transit,FedEx
O000251,2023-08-30,Delivered,FedEx
O000252,2023-08-14,Shipped,DHL
O000253,2023-09-13,Delivered,DHL
O000254,2023-10-14,In Transit,FedEx
O000255,2023-08-27,Shipped,UPS
O000256,2023-08-03,Delayed,DHL
O000257,2023-12-12,Shipped,UPS
O000258,2023-09-21,Shipped,FedEx
O000259,2023-08-15,Delayed,DHL
O000260,2023-08-27,Delayed,UPS
O000261,2023-06-24,Shipped,DHL
O000262,2023-10-15,Shipped,FedEx
O000263,2023-07-02,Delivered,FedEx
O000264,2023-09-07,Delivered,UPS
O000265,2023-06-18,Shipped,USPS
O000266,2023-06-10,Shipped,USPS
O000267,2023-07-13,In Transit,USPS
O000268,2023-02-15,Delayed,USPS
O000269,2023-10-23,Delivered,FedEx
O000270,2023-11-13,Delivered,DHL
O000271,2023-08-12,Delivered,DHL
O000272,2023-03-29,In Transit,UPS
O000273,2023-10-14,In Transit,USPS
O000274,2023-08-12,Delivered,USPS
O000275,2023-04-20,Delivered,UPS
O000276,2023-04-13,Shipped,UPS
O000277,2024-01-04,Delivered,DHL
O000278,2023-02-21,Shipped,FedEx
O000279,2023-12-19,In Transit,FedEx
O000280,2023-06-20,In Transit,USPS
O000281,2023-03-31,Delivered,UPS
O000282,2023-09-14,Delayed,USPS
O000283,2023-09-02,Shipped,DHL
O000284,2023-10-18,Shipped,USPS
O000285,2023-02-26,Delayed,USPS
O000286,2023-06-07,In Transit,DHL
O000287,2023-01-21,Shipped,USPS
O000288,2023-11-17,Delayed,FedEx
O000289,2023-08-23,Shipped,USPS
O000290,2023-05-15,In Transit,FedEx
O000291,2024-01-02,Delivered,FedEx
O000292,2023-02-10,Delayed,UPS
O000293,2023-04-17,In Transit,FedEx
O000294,2023-10-26,Shipped,FedEx
O000295,2023-07-10,In Transit,USPS
O000296,2023-05-21,Delayed,UPS
O000297,2023-10-07,Shipped,DHL
O000298,2023-07-03,In Transit,UPS
O000299,2023-05-03,In Transit,DHL
O000300,2023-05-28,Shipped,DHL
O000301,2023-11-15,Shipped,USPS
O000302,2023-06-10,Delayed,FedEx
O000303,2023-04-15,In Transit,USPS
O000304,2023-09-08,Shipped,USPS
O000305,2023-07-07,Delayed,USPS
O000306,2023-04-10,Shipped,USPS
O000307,2023-05-02,Shipped,USPS
O000308,2023-09-24,Delayed,DHL
O000309,2023-04-03,Shipped,UPS
O000310,2023-09-05,Delayed,UPS
O000311,2023-01-17,Delivered,FedEx
O000312,2023-09-14,In Transit,FedEx
O000313,2023-05-15,Delayed,DHL
O000314,2023-12-09,Delayed,UPS
O000315,2023-03-24,Shipped,UPS
O000316,2023-09-04,Shipped,DHL
O000317,2023-08-28,Shipped,DHL
O000318,2023-03-21,Delivered,DHL
O000319,2023-05-04,Delayed,DHL
O000320,2023-06-30,Delivered,USPS
O000321,2023-03-05,Shipped,USPS
O000322,2023-08-13,Delayed,DHL
O000323,2023-09-12,Shipped,FedEx
O000324,2023-11-12,In Transit,DHL
O000325,2023-12-25,Shipped,DHL
O000326,2023-12-24,Delivered,USPS
O000327,2023-07-16,Delayed,DHL
O000328,2023-11-13,Delivered,DHL
O000329,2023-11-07,Delivered,UPS
O000330,2023-09-30,Delivered,USPS
O000331,2023-02-28,Shipped,USPS
O000332,2023-08-09,Delivered,DHL
O000333,2023-08-25,Shipped,UPS
O000334,2023-02-17,Shipped,FedEx
O000335,2023-07-02,Delivered,USPS
O000336,2023-08-25,Shipped,FedEx
O000337,2023-08-23,In Transit,DHL
O000338,2023-05-10,Delayed,DHL
O000339,2023-11-30,Delayed,USPS
O000340,2023-05-24,Shipped,FedEx
O000341,2023-09-16,Shipped,USPS
O000342,2023-09-20,Shipped,FedEx
O000343,2023-03-03,Delivered,DHL
O000344,2023-06-11,In Transit,FedEx
O000345,2023-10-11,Delivered,FedEx
O000346,2023-10-21,Delivered,UPS
O000347,2023-04-23,Delayed,DHL
O000348,2023-01-11,Shipped,DHL
O000349,2023-01-04,Shipped,USPS
O000350,2023-11-15,Delayed,USPS
O000351,2023-05-16,Delivered,DHL
O000352,2023-01-29,In Transit,DHL
O000353,2023-02-19,In Transit,UPS
O000354,2023-04-24,Shipped,UPS
O000355,2023-05-15,Shipped,USPS
O000356,2023-03-18,Delayed,DHL
O000357,2023-11-09,Delayed,USPS
O000358,2023-01-29,Shipped,FedEx
O000359,2023-03-18,Delayed,UPS
O000360,2023-03-06,Delayed,FedEx
O000361,2023-08-14,Delayed,FedEx
O000362,2023-11-21,In Transit,USPS
O000363,2023-04-04,Delayed,DHL
O000364,2023-04-02,Delivered,USPS
O000365,2023-08-23,Shipped,USPS
O000366,2023-05-29,In Transit,USPS
O000367,2023-02-17,In Transit,USPS
O000368,2023-09-25,Shipped,FedEx
O000369,2023-09-24,Delivered,USPS
O000370,2023-02-18,Delivered,USPS
O000371,2024-01-01,In Transit,DHL
O000372,2023-11-01,Delivered,FedEx
O000373,2023-01-21,Delayed,FedEx
O000374,2023-08-19,Shipped,USPS
O000375,2023-04-11,In Transit,DHL
O000376,2023-01-12,Delayed,FedEx
O000377,2023-05-31,Delayed,UPS
O000378,2023-03-20,Delayed,FedEx
O000379,2023-09-02,Delayed,DHL
O000380,2023-02-01,Delayed,UPS
O000381,2023-05-29,Shipped,DHL
O000382,2023-04-05,Delayed,USPS
O000383,2023-07-06,Delivered,FedEx
O000384,2023-07-27,Delivered,USPS
O000385,2023-01-14,Shipped,USPS
O000386,2023-12-06,In Transit,DHL
O000387,2023-07-07,Delivered,UPS
O000388,2023-02-06,Shipped,UPS
O000389,2023-08-14,In Transit,DHL
O000390,2023-01-15,Delayed,FedEx
O000391,2023-10-02,Delivered,USPS
O000392,2023-05-15,Delayed,USPS
O000393,2023-10-01,Delivered,USPS
O000394,2023-09-14,Delayed,DHL
O000395,2023-11-05,Shipped,UPS
O000396,2023-07-21,Shipped,USPS
O000397,2023-04-11,Shipped,FedEx
O000398,2023-03-03,Delivered,UPS
O000399,2024-01-14,Delayed,USPS
O000400,2023-05-05,Shipped,DHL
O000401,2023-09-02,Delayed,FedEx
O000402,2023-06-11,Delivered,USPS
O000403,2023-05-21,Shipped,UPS
O000404,2023-04-18,In Transit,DHL
O000405,2023-11-08,Shipped,FedEx
O000406,2023-02-10,In Transit,DHL
O000407,2023-03-18,Shipped,FedEx
O000408,2023-09-08,Delivered,FedEx
O000409,2023-12-07,Shipped,DHL
O000410,2023-10-02,In Transit,FedEx
O000411,2023-08-12,Shipped,FedEx
O000412,2023-12-26,In Transit,FedEx
O000413,2023-03-03,Delivered,FedEx
O000414,2023-04-16,Delayed,FedEx
O000415,2023-04-13,Shipped,UPS
O000416,2023-11-11,Shipped,UPS
O000417,2023-02-09,Shipped,FedEx
O000418,2023-01-29,In Transit,FedEx
O000419,2023-10-26,In Transit,DHL
O000420,2023-11-09,Delayed,DHL
O000421,2024-01-03,Delayed,USPS
O000422,2023-10-16,Shipped,UPS
O000423,2023-10-07,In Transit,DHL
O000424,2023-07-29,Delivered,UPS
O000425,2023-07-11,In Transit,UPS
O000426,2023-10-30,Delayed,UPS
O000427,2023-03-27,Delayed,UPS
O000428,2023-12-19,Delayed,DHL
O000429,2023-04-05,Delivered,FedEx
O000430,2023-06-14,In Transit,FedEx
O000431,2023-12-26,Delayed,UPS
O000432,2023-06-27,Delayed,UPS
O000433,2023-07-01,In Transit,UPS
O000434,2023-09-23,In Transit,FedEx
O000435,2023-02-23,Delayed,UPS
O000436,2023-07-12,Delivered,UPS
O000437,2023-03-24,Delivered,DHL
O000438,2023-07-30,In Transit,DHL
O000439,2023-01-19,In Transit,FedEx
O000440,2023-05-04,In Transit,FedEx
O000441,2023-06-04,Shipped,DHL
O000442,2023-04-20,Delivered,USPS
O000443,2023-12-25,Delivered,FedEx
O000444,2024-01-08,In Transit,UPS
O000445,2023-07-23,In Transit,UPS
O000446,2023-12-29,Shipped,UPS
O000447,2023-10-24,In Transit,FedEx
O000448,2023-07-04,In Transit,USPS
O000449,2023-03-05,In Transit,FedEx
O000450,2023-02-08,Delayed,USPS
O000451,2023-09-08,Delivered,UPS
O000452,2023-08-29,In Transit,UPS
O000453,2023-12-28,Shipped,USPS
O000454,2023-07-10,Shipped,DHL
O000455,2023-11-24,Delivered,USPS
O000456,2024-01-12,Delivered,USPS
O000457,2023-10-24,Delayed,UPS
O000458,2023-12-01,Delayed,USPS
O000459,2023-07-29,Shipped,FedEx
O000460,2023-07-16,Delivered,DHL
O000461,2023-01-28,Delayed,FedEx
O000462,2023-12-01,Shipped,FedEx
O000463,2023-11-01,In Transit,UPS
O000464,2023-02-23,Shipped,USPS
O000465,2023-08-28,Delivered,USPS
O000466,2023-06-24,In Transit,USPS
O000467,2023-05-09,Delivered,DHL
O000468,2023-07-25,Shipped,USPS
O000469,2023-12-21,In Transit,DHL
O000470,2023-03-13,Delayed,USPS
O000471,2023-10-16,Delivered,UPS
O000472,2023-12-08,Delivered,DHL
O000473,2023-04-07,Shipped,DHL
O000474,2023-03-10,Shipped,UPS
O000475,2023-02-25,Delivered,UPS
O000476,2023-07-29,Delayed,USPS
O000477,2023-07-25,Delayed,DHL
O000478,2023-08-20,In Transit,USPS
O000479,2023-09-21,Delivered,FedEx
O000480,2023-12-24,Delayed,FedEx
O000481,2023-08-02,In Transit,FedEx
O000482,2023-07-30,Shipped,UPS
O000483,2023-02-13,Shipped,USPS
O000484,2023-04-13,Delivered,FedEx
O000485,2023-11-10,Delivered,UPS
O000486,2023-05-07,Shipped,FedEx
O000487,2023-10-11,In Transit,DHL
O000488,2023-08-06,In Transit,USPS
O000489,2023-03-18,Delivered,FedEx
O000490,2023-06-24,Delayed,UPS
O000491,2024-01-05,Shipped,FedEx
O000492,2023-02-10,Delayed,UPS
O000493,2023-11-17,Delivered,USPS
O000494,2023-10-18,Delayed,UPS
O000495,2023-12-03,Delivered,FedEx
O000496,2023-09-05,Shipped,UPS
O000497,2023-08-06,Delivered,UPS
O000498,2023-06-28,In Transit,UPS
O000499,2023-01-29,Delayed,FedEx
O000500,2023-12-20,Delivered,FedEx
O000501,2023-03-24,In Transit,FedEx
O000502,2023-09-05,Shipped,USPS
O000503,2023-04-18,Delivered,DHL
O000504,2023-08-10,Shipped,DHL
O000505,2023-09-30,In Transit,FedEx
O000506,2023-08-11,In Transit,FedEx
O000507,2023-06-01,Delivered,FedEx
O000508,2023-08-15,Delivered,UPS
O000509,2024-01-06,Delayed,FedEx
O000510,2024-01-13,Shipped,UPS
O000511,2023-03-25,Delivered,DHL
O000512,2023-01-15,In Transit,USPS
O000513,2023-09-02,In Transit,FedEx
O000514,2023-02-22,In Transit,USPS
O000515,2023-01-27,Delivered,USPS
O000516,2023-02-04,Shipped,DHL
O000517,2023-04-11,Delayed,UPS
O000518,2023-12-07,Shipped,DHL
O000519,2023-07-31,In Transit,DHL
O000520,2023-02-07,In Transit,UPS
O000521,2023-07-23,Shipped,USPS
O000522,2023-04-19,Shipped,DHL
O000523,2023-06-07,In Transit,USPS
O000524,2023-12-17,Delayed,FedEx
O000525,2023-02-21,Delayed,DHL
O000526,2023-08-15,Shipped,DHL
O000527,2024-01-01,In Transit,DHL
O000528,2023-02-16,Shipped,UPS
O000529,2023-04-11,In Transit,USPS
O000530,2023-07-30,Delayed,USPS
O000531,2023-10-12,In Transit,FedEx
O000532,2023-11-24,In Transit,DHL
O000533,2024-01-01,Delivered,UPS
O000534,2023-03-11,In Transit,UPS
O000535,2023-07-22,Shipped,FedEx
O000536,2023-12-14,Delayed,UPS
O000537,2023-04-19,Shipped,DHL
O000538,2023-12-02,In Transit,USPS
O000539,2023-07-09,Shipped,USPS
O000540,2024-01-05,Delayed,DHL
O000541,2023-11-22,Shipped,UPS
O000542,2023-07-03,Delivered,FedEx
O000543,2023-08-19,In Transit,DHL
O000544,2023-12-12,Shipped,DHL
O000545,2023-10-28,In Transit,DHL
O000546,2023-08-06,Shipped,USPS
O000547,2023-02-19,Delayed,USPS
O000548,2023-04-27,In Transit,DHL
O000549,2023-02-05,Shipped,DHL
O000550,2023-01-19,Shipped,USPS
O000551,2023-06-18,In Transit,DHL
O000552,2023-07-01,Delivered,DHL
O000553,2023-09-27,Delivered,UPS
O000554,2023-10-30,In Transit,UPS
O000555,2023-08-21,Delayed,USPS
O000556,2023-10-03,Shipped,USPS
O000557,2023-03-31,In Transit,UPS
O000558,2023-01-13,Shipped,DHL
O000559,2023-06-12,In Transit,DHL
O000560,2023-03-28,In Transit,UPS
O000561,2023-11-18,Delivered,DHL
O000562,2023-05-28,Delivered,USPS
O000563,2023-03-29,Shipped,UPS
O000564,2023-09-01,Delayed,UPS
O000565,2023-12-03,Delivered,FedEx
O000566,2023-09-10,Delivered,FedEx
O000567,2023-03-30,Shipped,USPS
O000568,2023-09-19,Shipped,FedEx
O000569,2023-07-06,Shipped,FedEx
O000570,2023-12-05,Delayed,FedEx
O000571,2023-10-26,Delivered,USPS
O000572,2023-09-08,Delayed,FedEx
O000573,2023-06-20,Delivered,UPS
O000574,2023-02-27,In Transit,UPS
O000575,2023-08-20,Shipped,USPS
O000576,2023-05-13,Delayed,USPS
O000577,2023-03-10,In Transit,FedEx
O000578,2023-03-19,In Transit,FedEx
O000579,2023-05-11,Delayed,DHL
O000580,2023-03-15,In Transit,FedEx
O000581,2023-07-07,In Transit,USPS
O000582,2023-02-06,In Transit,DHL
O000583,2023-08-15,In Transit,DHL
O000584,2023-11-02,Delayed,USPS
O000585,2023-07-31,In Transit,DHL
O000586,2023-10-29,In Transit,FedEx
O000587,2023-03-10,Delayed,DHL
O000588,2023-12-23,Delivered,FedEx
O000589,2023-06-01,Delivered,FedEx
O000590,2023-03-15,Delivered,UPS
O000591,2023-11-15,In Transit,FedEx
O000592,2023-06-15,In Transit,USPS
O000593,2023-12-27,Shipped,DHL
O000594,2023-10-03,Delivered,FedEx
O000595,2023-11-21,Shipped,FedEx
O000596,2023-01-08,Delivered,UPS
O000597,2023-02-26,Delayed,DHL
O000598,2023-10-13,Delivered,UPS
O000599,2023-12-21,Delayed,FedEx
O000600,2023-04-30,Delivered,DHL
O000601,2023-04-10,In Transit,FedEx
O000602,2023-07-26,In Transit,UPS
O000603,2023-10-31,In Transit,FedEx
O000604,2023-03-17,Delayed,USPS
O000605,2023-05-22,Delayed,FedEx
O000606,2023-09-06,Delayed,USPS
O000607,2023-10-08,Delayed,USPS
O000608,2023-02-20,Delayed,UPS
O000609,2023-08-20,Delivered,DHL
O000610,2023-09-01,In Transit,UPS
O000611,2023-06-15,Delivered,USPS
O000612,2023-06-16,Delayed,UPS
O000613,2023-09-23,Delayed,UPS
O000614,2023-04-07,Shipped,USPS
O000615,2023-12-16,In Transit,UPS
O000616,2023-07-16,Shipped,UPS
O000617,2023-02-27,Shipped,USPS
O000618,2023-12-07,Delivered,FedEx
O000619,2023-02-05,Delivered,DHL
O000620,2023-08-11,Delayed,UPS
O000621,2023-01-30,In Transit,DHL
O000622,2023-05-29,In Transit,DHL
O000623,2023-08-18,In Transit,DHL
O000624,2023-07-04,Delivered,UPS
O000625,2023-08-04,Delivered,DHL
O000626,2023-10-06,Shipped,FedEx
O000627,2023-08-23,In Transit,DHL
O000628,2023-07-22,In Transit,UPS
O000629,2023-04-06,In Transit,USPS
O000630,2023-10-07,In Transit,FedEx
O000631,2024-01-10,Delivered,DHL
O000632,2023-10-31,In Transit,DHL
O000633,2023-08-30,Delivered,FedEx
O000634,2023-06-06,Shipped,FedEx
O000635,2023-07-17,Delayed,UPS
O000636,2023-01-20,In Transit,DHL
O000637,2023-09-01,Delayed,USPS
O000638,2023-01-28,Delivered,FedEx
O000639,2023-06-30,Delayed,USPS
O000640,2023-02-19,Delayed,USPS
O000641,2024-01-01,Delivered,FedEx
O000642,2023-06-30,Delivered,DHL
O000643,2023-07-15,Shipped,USPS
O000644,2023-03-09,In Transit,UPS
O000645,2023-01-12,Delayed,FedEx
O000646,2023-08-27,Delayed,DHL
O000647,2023-07-11,Delayed,USPS
O000648,2023-07-06,Delayed,UPS
O000649,2023-06-30,Shipped,USPS
O000650,2023-10-07,Shipped,USPS
O000651,2023-04-23,In Transit,UPS
O000652,2023-11-30,In Transit,UPS
O000653,2023-10-12,In Transit,UPS
O000654,2023-11-27,Delayed,DHL
O000655,2023-01-14,Delayed,DHL
O000656,2023-05-03,Shipped,DHL
O000657,2023-12-31,Shipped,FedEx
O000658,2023-11-22,Shipped,DHL
O000659,2023-09-04,In Transit,FedEx
O000660,2023-03-07,In Transit,UPS
O000661,2023-11-20,Shipped,FedEx
O000662,2023-02-03,Shipped,DHL
O000663,2023-02-25,Delayed,FedEx
O000664,2023-02-12,Delivered,FedEx
O000665,2023-02-02,Delayed,DHL
O000666,2023-06-14,In Transit,USPS
O000667,2023-11-12,Shipped,USPS
O000668,2023-06-16,Shipped,USPS
O000669,2023-11-26,Delivered,FedEx
O000670,2023-06-05,Delayed,USPS
O000671,2023-09-29,Delivered,USPS
O000672,2023-08-06,Delivered,DHL
O000673,2023-05-31,Delivered,DHL
O000674,2023-02-14,In Transit,USPS
O000675,2023-07-10,Delivered,FedEx
O000676,2023-03-09,Shipped,USPS
O000677,2023-12-23,Delivered,DHL
O000678,2023-10-19,Shipped,USPS
O000679,2023-10-26,In Transit,USPS
O000680,2023-06-26,Delivered,UPS
O000681,2023-04-12,Shipped,DHL
O000682,2023-07-15,Delivered,FedEx
O000683,2023-01-21,Delivered,FedEx
O000684,2023-04-05,Delivered,USPS
O000685,2023-07-14,Delivered,DHL
O000686,2023-06-13,Delivered,USPS
O000687,2023-12-25,Delivered,USPS
O000688,2023-05-24,Delivered,DHL
