Date,Employee ID,Machine ID,Label Type,Units Produced
2023-11-14,E00602,M0146,Type A,348
2023-02-18,E05989,M0064,Type A,33
2023-10-09,E03255,M0061,Type D,824
2023-06-20,E05794,M0042,Type A,333
2023-03-19,E01282,M0058,Type D,734
2023-01-03,E01418,M0073,Type D,214
2023-09-04,E04015,M0017,Type C,182
2023-08-06,E09727,M0091,Type A,270
2023-05-12,E03137,M0153,Type A,740
2023-06-24,E02339,M0183,Type A,190
2023-05-12,E06823,M0044,Type C,992
2023-02-25,E05667,M0128,Type A,502
2023-08-04,E06450,M0072,Type D,158
2023-04-13,E02869,M0167,Type B,73
2023-02-20,E07869,M0006,Type B,261
2023-03-25,E09311,M0200,Type A,644
2023-11-24,E09309,M0160,Type A,812
2023-11-14,E07188,M0072,Type C,286
2023-12-09,E05166,M0184,Type A,791
2023-10-16,E02704,M0057,Type C,123
2023-06-11,E07107,M0182,Type C,494
2023-08-24,E07875,M0092,Type B,730
2023-11-18,E06783,M0170,Type C,51
2023-06-05,E01950,M0041,Type C,509
2023-12-31,E03663,M0122,Type C,673
2023-08-06,E05836,M0141,Type C,247
2023-02-21,E07192,M0037,Type B,760
2023-03-16,E09646,M0100,Type D,493
2023-06-05,E06840,M0199,Type C,151
2023-04-06,E02393,M0087,Type C,994
2023-02-25,E08436,M0098,Type B,530
2023-01-01,E03714,M0077,Type A,821
2023-08-07,E01808,M0144,Type C,535
2023-03-25,E05305,M0021,Type D,109
2023-06-29,E02707,M0182,Type B,460
2023-03-15,E08484,M0043,Type C,127
2023-03-18,E03142,M0086,Type C,429
2023-08-04,E09978,M0081,Type C,31
2023-10-27,E02774,M0141,Type A,168
2023-06-04,E08474,M0131,Type C,654
2023-10-07,E05807,M0044,Type D,461
2023-07-30,E02625,M0130,Type D,807
2023-12-26,E09095,M0017,Type C,588
2023-05-06,E07572,M0141,Type A,610
2023-01-04,E08874,M0071,Type A,463
2023-07-26,E07856,M0140,Type B,694
2023-01-15,E02493,M0089,Type B,940
2023-06-10,E06154,M0048,Type C,127
2023-10-27,E05001,M0018,Type C,872
2023-01-05,E06086,M0123,Type A,583
2023-10-02,E05329,M0075,Type C,785
2023-01-07,E04238,M0182,Type D,26
2023-11-07,E01714,M0143,Type B,556
2023-03-20,E04136,M0109,Type C,601
2023-01-26,E02344,M0032,Type C,602
2023-03-14,E05938,M0097,Type B,120
2023-12-30,E02661,M0040,Type D,50
2023-06-23,E05934,M0004,Type C,813
2023-07-18,E08912,M0061,Type A,934
2023-05-31,E07362,M0051,Type C,883
2023-08-21,E02101,M0128,Type D,345
2023-09-28,E03024,M0075,Type B,18
2023-12-10,E06210,M0195,Type B,206
2023-07-30,E09108,M0074,Type B,274
2023-10-05,E06217,M0050,Type B,802
2023-06-05,E06393,M0178,Type B,492
2023-02-12,E01201,M0039,Type D,532
2023-02-12,E07746,M0069,Type C,210
2023-07-21,E06629,M0041,Type A,97
2023-03-28,E08598,M0054,Type D,82
2023-01-26,E05045,M0033,Type C,376
2023-12-22,E07973,M0035,Type D,278
2023-03-07,E04749,M0150,Type B,571
2023-07-14,E05552,M0004,Type A,240
2023-09-25,E05493,M0121,Type B,351
2023-12-30,E08068,M0080,Type D,352
2023-12-27,E00662,M0184,Type D,237
2023-03-09,E06334,M0178,Type D,938
2023-03-23,E08232,M0038,Type A,50
2023-04-20,E09388,M0127,Type C,328
2023-10-26,E09518,M0039,Type A,389
2023-04-14,E07831,M0151,Type B,969
2023-05-31,E05291,M0187,Type D,913
2023-06-11,E09341,M0166,Type C,644
2023-03-16,E05710,M0008,Type B,234
2023-09-07,E02438,M0112,Type D,489
2023-06-06,E05085,M0146,Type C,831
2023-11-05,E03434,M0054,Type C,492
2023-07-28,E09284,M0152,Type A,42
2023-07-14,E07113,M0006,Type B,916
2023-10-12,E01791,M0035,Type B,579
2023-02-06,E03740,M0123,Type D,953
2023-02-10,E03609,M0086,Type A,621
2023-03-16,E09492,M0148,Type A,795
2023-01-30,E09074,M0156,Type D,359
2023-08-12,E02338,M0118,Type B,307
2023-02-28,E01879,M0124,Type B,983
2023-10-29,E07383,M0005,Type D,986
2023-03-09,E05897,M0191,Type D,68
2023-06-08,E06731,M0058,Type C,427
2023-02-07,E00782,M0180,Type C,504
2023-02-15,E05418,M0114,Type A,93
2023-08-22,E07350,M0135,Type D,753
2023-11-20,E06694,M0160,Type A,895
2023-11-07,E07552,M0099,Type B,482
2023-12-30,E00405,M0165,Type B,205
2023-05-18,E07610,M0097,Type B,849
2023-07-24,E09484,M0048,Type A,278
2023-03-07,E09384,M0196,Type A,631
2023-04-30,E09916,M0147,Type D,394
2023-10-25,E01617,M0035,Type D,121
2023-07-24,E08039,M0143,Type B,598
2023-05-02,E07313,M0006,Type D,638
2023-08-20,E09978,M0160,Type A,187
2023-02-19,E05677,M0090,Type A,896
2023-06-02,E00480,M0176,Type B,849
2023-12-29,E00117,M0026,Type C,905
2023-11-23,E07944,M0052,Type C,829
2023-02-06,E04402,M0167,Type C,644
2023-06-14,E03774,M0192,Type B,520
2023-06-03,E04823,M0131,Type B,789
2023-07-17,E01520,M0057,Type B,180
2023-10-02,E05030,M0071,Type C,448
2023-02-14,E07582,M0086,Type D,64
2023-03-10,E00387,M0145,Type B,97
2023-07-10,E02532,M0029,Type C,205
2023-08-30,E00752,M0133,Type D,312
2023-07-06,E07826,M0101,Type A,224
2023-11-06,E04423,M0196,Type C,484
2023-11-30,E03384,M0011,Type D,235
2023-07-09,E07793,M0052,Type B,966
2023-07-21,E03068,M0107,Type A,587
2023-11-17,E08110,M0080,Type B,246
2023-02-15,E06074,M0152,Type A,210
2023-11-12,E08555,M0055,Type D,398
2023-10-12,E07519,M0060,Type A,858
2023-07-19,E00696,M0193,Type B,788
2023-07-08,E00668,M0121,Type D,506
2023-01-17,E01978,M0093,Type B,697
2023-03-18,E02500,M0126,Type B,813
2023-03-11,E01603,M0154,Type A,71
2023-07-16,E04791,M0200,Type D,702
2023-01-24,E08489,M0147,Type D,221
2023-03-17,E00872,M0160,Type A,496
2023-04-15,E07049,M0011,Type D,948
2023-04-10,E04877,M0004,Type B,888
2023-02-07,E00315,M0159,Type D,840
2023-02-27,E08719,M0095,Type C,151
2023-01-07,E07608,M0148,Type A,948
2023-11-15,E04669,M0077,Type A,960
2023-02-04,E02734,M0025,Type A,386
2023-05-05,E06322,M0115,Type A,647
2023-11-24,E02504,M0162,Type B,663
2023-01-17,E01528,M0085,Type C,213
2023-12-06,E05786,M0041,Type D,265
2023-10-10,E08332,M0136,Type B,768
2023-04-03,E09581,M0129,Type D,469
2023-02-16,E03310,M0116,Type C,786
2023-07-22,E02592,M0135,Type B,397
2023-02-27,E05935,M0101,Type C,780
2023-10-24,E05628,M0186,Type C,645
2023-10-14,E00710,M0132,Type A,631
2023-08-06,E04317,M0174,Type C,239
2023-12-07,E09039,M0041,Type A,907
2023-09-11,E06402,M0101,Type B,491
2023-01-27,E03971,M0026,Type B,382
2023-05-07,E01244,M0165,Type D,682
2023-09-22,E02726,M0189,Type C,93
2023-02-11,E09029,M0176,Type D,279
2023-02-08,E02446,M0179,Type B,48
2023-04-20,E05411,M0105,Type D,516
2023-05-31,E09810,M0162,Type A,947
2023-11-26,E00296,M0102,Type B,644
2023-05-17,E03962,M0160,Type A,438
2023-12-31,E03883,M0087,Type D,342
2023-05-19,E07564,M0199,Type D,289
2023-01-30,E04036,M0163,Type A,898
2023-06-05,E06357,M0006,Type A,340
2023-11-19,E02608,M0141,Type B,617
2023-09-15,E03418,M0042,Type B,310
2023-04-06,E00377,M0115,Type B,910
2023-04-04,E01780,M0103,Type D,774
2023-12-23,E04323,M0024,Type D,311
2023-04-08,E09118,M0110,Type B,412
2023-11-18,E01833,M0145,Type D,791
2023-04-16,E04496,M0026,Type B,894
2023-01-26,E06489,M0063,Type D,872
2023-04-27,E05686,M0061,Type A,321
2023-03-01,E09123,M0012,Type B,448
2023-09-09,E04911,M0076,Type A,129
2023-10-05,E02117,M0117,Type B,929
2023-01-08,E09621,M0037,Type B,985
2023-04-19,E04216,M0144,Type A,892
2023-04-22,E01455,M0115,Type B,936
2023-06-17,E07331,M0109,Type C,791
2023-11-20,E09638,M0103,Type A,609
2023-10-14,E05547,M0054,Type A,533
2023-05-03,E04188,M0032,Type A,649
2023-11-13,E01030,M0021,Type B,501
2023-05-09,E09218,M0124,Type B,450
2023-10-24,E09980,M0010,Type D,115
2023-09-01,E04153,M0144,Type B,617
2023-12-28,E01304,M0150,Type A,664
2023-10-17,E06126,M0042,Type A,869
2023-11-27,E06748,M0060,Type C,646
2023-02-07,E03348,M0162,Type C,22
2023-11-18,E05737,M0028,Type D,764
2023-12-12,E05623,M0027,Type D,694
2023-04-23,E01894,M0115,Type D,401
2023-06-12,E03802,M0108,Type B,613
2023-02-15,E07955,M0020,Type A,820
2023-07-29,E07947,M0042,Type B,516
2023-04-15,E01380,M0146,Type A,729
2023-03-20,E02495,M0158,Type C,722
2023-07-27,E03129,M0095,Type B,401
2023-03-25,E03995,M0055,Type A,360
2023-09-16,E02184,M0032,Type A,773
2023-08-12,E09078,M0062,Type C,154
2023-10-21,E09494,M0016,Type C,307
2023-08-31,E00324,M0065,Type D,10
2023-07-19,E07449,M0098,Type D,330
2023-03-11,E07683,M0027,Type C,579
2023-09-19,E02997,M0009,Type B,83
2023-05-08,E04911,M0160,Type D,141
2023-11-25,E01138,M0051,Type D,132
2023-11-17,E08715,M0120,Type A,308
2023-05-02,E06799,M0189,Type C,387
2023-11-16,E08758,M0004,Type C,723
2023-03-23,E05047,M0029,Type D,652
2023-05-17,E07667,M0116,Type B,584
2023-08-15,E07144,M0148,Type C,531
2023-09-03,E00506,M0093,Type D,503
2023-10-23,E07293,M0057,Type C,62
2023-07-30,E03912,M0123,Type C,362
2023-11-29,E05393,M0113,Type B,837
2023-02-11,E07343,M0032,Type C,981
2023-04-20,E08827,M0086,Type C,352
2023-05-25,E05643,M0113,Type A,70
2023-01-01,E01992,M0136,Type C,611
2023-11-23,E00907,M0197,Type C,513
2023-09-05,E00709,M0103,Type D,927
2023-06-29,E09325,M0099,Type A,666
2023-11-28,E04191,M0167,Type B,131
2023-08-01,E02694,M0054,Type A,217
2023-06-14,E01838,M0107,Type B,150
2023-04-29,E07409,M0196,Type C,51
2023-07-04,E04453,M0179,Type D,813
2023-12-01,E03875,M0071,Type D,540
2023-05-28,E04274,M0141,Type B,128
2023-05-24,E00223,M0010,Type D,324
2023-03-16,E05731,M0200,Type D,85
2023-02-17,E05409,M0182,Type A,928
2023-09-01,E03067,M0080,Type B,828
2023-12-10,E07272,M0092,Type D,961
2023-07-05,E02943,M0199,Type B,774
2023-06-09,E05681,M0097,Type D,657
2023-12-07,E01250,M0007,Type D,325
2023-03-23,E02791,M0050,Type A,433
2023-09-26,E07628,M0168,Type C,909
2023-02-07,E06275,M0086,Type D,557
2023-06-28,E08204,M0136,Type D,409
2023-09-11,E00299,M0035,Type B,955
2023-09-17,E08522,M0184,Type D,108
2023-03-13,E00706,M0186,Type C,354
2023-12-09,E01370,M0166,Type B,701
2023-07-25,E00985,M0057,Type A,816
2023-05-05,E02490,M0068,Type B,248
2023-05-13,E07924,M0075,Type B,51
2023-09-15,E05149,M0185,Type D,753
2023-10-26,E05880,M0125,Type B,631
2023-02-14,E00681,M0058,Type D,834
2023-12-23,E09496,M0189,Type C,188
2023-12-18,E04612,M0021,Type D,607
2023-07-25,E03162,M0018,Type C,412
2023-04-08,E01764,M0051,Type A,499
2023-04-12,E08456,M0049,Type B,20
2023-11-16,E09432,M0197,Type C,349
2023-12-15,E05843,M0155,Type C,490
2023-09-27,E05997,M0109,Type D,731
2023-08-06,E03639,M0002,Type D,807
2023-10-15,E00591,M0044,Type C,723
2023-04-20,E00797,M0010,Type D,960
2023-10-12,E03509,M0161,Type D,317
2023-08-05,E03574,M0186,Type D,632
2023-04-13,E03609,M0177,Type C,657
2023-01-03,E07950,M0080,Type D,617
2023-04-13,E02627,M0010,Type B,311
2023-04-10,E06269,M0076,Type A,588
2023-04-12,E02706,M0003,Type D,759
2023-03-02,E07623,M0093,Type C,439
2023-06-06,E03665,M0179,Type A,612
2023-10-22,E03006,M0016,Type B,430
2023-07-08,E01741,M0149,Type D,345
2023-12-04,E02439,M0142,Type C,476
2023-03-07,E08522,M0022,Type B,77
2023-02-24,E09205,M0102,Type B,876
2023-07-23,E09693,M0043,Type B,403
2023-10-16,E01605,M0159,Type C,335
2023-03-30,E05298,M0127,Type C,875
2023-04-02,E00446,M0111,Type B,677
2023-07-18,E06123,M0083,Type D,167
2023-03-16,E02842,M0199,Type A,731
2023-06-17,E04428,M0169,Type D,168
2023-06-07,E09505,M0067,Type C,542
2023-04-22,E05606,M0159,Type B,422
2023-05-30,E02922,M0098,Type C,776
2023-10-25,E01634,M0141,Type D,480
2023-07-11,E04259,M0004,Type C,77
2023-10-26,E01173,M0075,Type C,377
2023-09-25,E08393,M0136,Type D,361
2023-09-26,E01145,M0151,Type A,995
2023-07-23,E01621,M0187,Type D,11
2023-11-17,E09251,M0105,Type C,380
2023-07-28,E00655,M0081,Type D,247
2023-06-04,E03370,M0122,Type C,245
2023-07-03,E04944,M0032,Type D,756
2023-09-08,E09611,M0046,Type D,648
2023-09-04,E04759,M0082,Type D,971
2023-04-03,E09745,M0151,Type C,297
2023-12-11,E03717,M0134,Type C,520
2023-06-19,E01012,M0098,Type A,783
2023-05-11,E03654,M0052,Type D,928
2023-05-11,E04509,M0019,Type C,598
2023-05-15,E04007,M0189,Type B,12
2023-10-30,E08347,M0003,Type A,989
2023-07-18,E02041,M0198,Type C,430
2023-11-14,E00972,M0193,Type B,785
2023-05-24,E04705,M0118,Type D,279
2023-02-05,E03456,M0101,Type A,173
2023-04-30,E06275,M0137,Type D,602
2023-03-09,E06227,M0018,Type B,306
2023-02-19,E08054,M0001,Type A,14
2023-09-02,E04684,M0171,Type B,841
2023-02-26,E04937,M0087,Type D,30
2023-05-11,E02153,M0171,Type C,851
2023-08-04,E00901,M0070,Type D,881
2023-06-02,E02862,M0010,Type B,942
2023-05-16,E03665,M0193,Type C,430
2023-01-19,E08747,M0063,Type A,567
2023-10-17,E08130,M0037,Type A,89
2023-08-22,E06283,M0190,Type D,457
2023-01-30,E00126,M0195,Type D,696
2023-11-27,E09265,M0072,Type C,729
2023-07-24,E04107,M0146,Type C,278
2023-04-29,E03410,M0092,Type D,729
2023-06-02,E04684,M0094,Type C,109
2023-05-18,E00658,M0063,Type C,288
2023-11-10,E06549,M0059,Type D,268
2023-03-18,E01506,M0137,Type C,529
2023-05-07,E07105,M0049,Type D,329
2023-03-14,E08979,M0101,Type B,235
2023-07-10,E00482,M0006,Type C,950
2023-11-30,E04395,M0003,Type D,49
2023-03-16,E08860,M0123,Type C,781
2023-10-29,E04407,M0149,Type D,679
2023-03-02,E05943,M0024,Type B,90
2023-07-19,E02972,M0135,Type D,633
2023-04-17,E08469,M0076,Type B,610
2023-10-20,E02776,M0047,Type C,932
2023-02-18,E09019,M0167,Type A,338
2023-05-06,E01143,M0045,Type A,104
2023-05-20,E08656,M0032,Type B,36
2023-04-24,E07726,M0053,Type B,536
2023-07-28,E09534,M0161,Type C,289
2023-11-12,E07737,M0170,Type D,274
2023-12-25,E09041,M0045,Type C,231
2023-11-12,E02924,M0050,Type B,547
2023-03-03,E01659,M0067,Type D,662
2023-03-11,E04725,M0021,Type A,576
2023-04-09,E03403,M0200,Type C,294
2023-09-05,E00519,M0093,Type A,826
2023-11-19,E02516,M0147,Type B,951
2023-11-15,E05719,M0154,Type C,27
2023-06-22,E06697,M0014,Type C,171
2023-01-17,E08750,M0169,Type A,590
2023-09-20,E02570,M0076,Type A,658
2023-07-31,E03798,M0015,Type C,164
2023-12-05,E03158,M0095,Type C,150
2023-10-17,E01510,M0161,Type D,506
2023-05-24,E01242,M0191,Type B,185
2023-09-09,E07730,M0179,Type B,658
2023-03-17,E04661,M0044,Type D,309
2023-12-19,E00568,M0044,Type A,692
2023-09-15,E03311,M0175,Type C,193
2023-10-23,E07822,M0075,Type A,533
2023-06-29,E00154,M0171,Type A,659
2023-04-26,E09074,M0012,Type C,740
2023-02-07,E04746,M0074,Type D,901
2023-12-25,E03547,M0139,Type C,540
2023-05-26,E03075,M0044,Type B,979
2023-06-05,E09504,M0084,Type C,220
2023-06-15,E07736,M0161,Type D,753
2023-12-01,E08120,M0129,Type D,985
2023-09-30,E03461,M0053,Type B,953
2023-11-06,E08849,M0007,Type B,10
2023-07-22,E09335,M0048,Type A,821
2023-11-29,E00282,M0039,Type D,973
2023-05-18,E06297,M0171,Type D,63
2023-08-30,E05480,M0196,Type C,828
2023-10-22,E05225,M0114,Type C,545
2023-12-06,E04572,M0009,Type C,58
2023-07-28,E04628,M0030,Type B,102
2023-07-09,E01700,M0100,Type A,416
2023-07-29,E02964,M0171,Type C,869
2023-07-19,E00383,M0184,Type A,237
2023-07-24,E09160,M0051,Type D,594
2023-11-19,E04782,M0075,Type C,228
2023-05-08,E03893,M0082,Type C,52
2023-04-14,E02047,M0155,Type B,831
2023-04-11,E02193,M0186,Type D,391
2023-12-24,E07124,M0071,Type B,701
2023-05-29,E06699,M0007,Type A,146
2023-11-04,E02745,M0046,Type C,202
2023-10-15,E08268,M0141,Type C,159
2023-10-05,E03871,M0019,Type C,316
2023-10-10,E05693,M0185,Type D,877
2023-04-11,E01635,M0024,Type A,893
2023-04-18,E07835,M0182,Type A,535
2023-06-20,E05787,M0015,Type A,746
2023-11-26,E02156,M0178,Type A,724
2023-01-03,E00682,M0021,Type A,194
2023-10-09,E00072,M0159,Type D,59
2023-08-17,E01262,M0031,Type B,210
2023-07-04,E07749,M0062,Type B,124
2023-03-19,E03150,M0125,Type A,400
2023-09-24,E03947,M0023,Type A,83
2023-04-20,E06312,M0044,Type D,326
2023-02-15,E06149,M0112,Type C,232
2023-11-18,E05389,M0191,Type C,843
2023-02-18,E01455,M0095,Type D,53
2023-06-16,E07846,M0158,Type C,823
2023-11-06,E06828,M0025,Type A,901
2023-05-19,E06258,M0148,Type C,882
2023-10-30,E04327,M0130,Type A,758
2023-04-03,E03909,M0150,Type B,420
2023-02-14,E01992,M0109,Type D,805
2023-12-21,E00818,M0072,Type C,944
2023-02-18,E08028,M0085,Type B,59
2023-11-15,E02584,M0198,Type A,28
2023-12-21,E03428,M0086,Type C,931
2023-05-03,E08991,M0010,Type C,926
2023-12-19,E00379,M0066,Type B,420
2023-04-23,E03522,M0096,Type B,517
2023-08-27,E02713,M0133,Type D,521
2023-09-21,E08628,M0057,Type A,438
2023-09-30,E07789,M0060,Type B,107
2023-05-06,E08134,M0162,Type D,898
2023-09-14,E08776,M0087,Type D,379
2023-01-16,E05749,M0054,Type C,931
2023-09-01,E04586,M0174,Type B,89
2023-07-20,E03220,M0179,Type A,165
2023-10-09,E04488,M0013,Type B,820
2023-08-28,E03931,M0146,Type A,331
2023-05-10,E05829,M0157,Type D,40
2023-05-25,E07071,M0102,Type D,127
2023-12-20,E03451,M0100,Type D,291
2023-09-01,E02383,M0198,Type B,520
2023-01-27,E07603,M0018,Type D,385
2023-03-01,E02984,M0014,Type A,743
2023-12-06,E03089,M0074,Type D,853
2023-10-14,E05999,M0139,Type B,810
2023-04-10,E06578,M0098,Type A,624
2023-10-24,E02601,M0019,Type D,318
2023-05-16,E03944,M0123,Type A,459
2023-08-19,E08431,M0146,Type D,489
2023-04-20,E04777,M0037,Type B,122
2023-09-10,E01104,M0174,Type A,678
2023-11-23,E01090,M0101,Type C,296
2023-03-19,E05392,M0127,Type D,68
2023-11-04,E04169,M0001,Type A,904
2023-04-02,E08608,M0137,Type A,25
2023-04-07,E08727,M0194,Type A,361
2023-08-01,E03515,M0134,Type A,267
2023-07-27,E02695,M0189,Type A,701
2023-06-09,E04470,M0009,Type C,47
2023-02-25,E03163,M0023,Type C,845
2023-01-11,E05304,M0199,Type C,709
2023-09-13,E06398,M0022,Type C,284
2023-01-15,E03817,M0004,Type A,22
2023-03-10,E07230,M0194,Type C,355
2023-08-01,E08532,M0054,Type C,353
2023-12-14,E07145,M0051,Type C,499
2023-03-19,E06819,M0126,Type A,421
2023-12-20,E07753,M0037,Type A,547
2023-12-17,E03680,M0102,Type B,528
2023-11-16,E08691,M0019,Type A,211
2023-02-07,E02341,M0035,Type D,749
2023-11-30,E06014,M0075,Type C,614
2023-03-15,E00921,M0194,Type C,578
2023-08-28,E04252,M0135,Type A,916
2023-07-31,E04644,M0025,Type C,425
2023-07-11,E07889,M0030,Type D,997
2023-09-11,E00971,M0143,Type B,360
2023-10-02,E01244,M0095,Type A,389
2023-04-05,E03470,M0170,Type C,202
2023-08-13,E07966,M0032,Type D,915
2023-12-14,E01513,M0037,Type B,530
2023-12-13,E00949,M0099,Type A,584
2023-10-26,E00340,M0017,Type B,304
2023-12-13,E09391,M0155,Type A,709
2023-07-03,E07082,M0087,Type C,489
2023-10-24,E04052,M0090,Type B,130
2023-04-03,E09700,M0100,Type C,828
2023-11-27,E00527,M0161,Type C,725
2023-10-30,E00166,M0151,Type B,53
2023-12-24,E02136,M0010,Type A,995
2023-04-06,E07729,M0002,Type B,98
2023-06-28,E00588,M0152,Type A,254
2023-10-23,E05573,M0168,Type C,391
2023-02-26,E08929,M0022,Type D,569
2023-12-31,E05881,M0110,Type D,167
2023-04-02,E04632,M0066,Type B,425
2023-12-09,E05862,M0188,Type A,442
2023-03-09,E05128,M0093,Type A,829
2023-06-22,E00996,M0137,Type A,986
2023-04-15,E04448,M0147,Type B,902
2023-09-22,E03087,M0102,Type D,634
2023-02-07,E07812,M0056,Type C,528
2023-08-11,E00372,M0197,Type B,91
2023-05-05,E07311,M0158,Type D,825
2023-07-03,E09550,M0177,Type C,582
