Date,Employee ID,Check-in Time,Check-out Time,Shift
2023-03-31,E02793,19:06:49,13:35:02,Morning
2023-04-29,E07294,00:01:20,05:16:48,Night
2023-05-27,E02454,11:11:04,12:00:10,Morning
2023-08-09,E02943,09:22:03,21:57:07,Evening
2023-08-25,E01421,04:58:15,01:22:03,Evening
2023-02-13,E03651,14:13:33,08:39:10,Evening
2023-04-06,E00619,16:15:29,21:51:11,Evening
2023-08-21,E05825,13:44:59,10:13:29,Night
2023-02-08,E02558,19:13:03,14:49:00,Night
2023-08-19,E01156,22:19:25,16:29:32,Morning
2023-09-25,E07406,02:22:34,20:12:52,Evening
2023-05-09,E06084,10:27:20,10:21:05,Evening
2023-03-22,E01345,12:18:18,12:34:48,Evening
2023-03-23,E07022,13:18:48,04:43:57,Night
2023-03-17,E06918,05:02:24,02:23:38,Night
2023-08-22,E07057,15:34:29,01:42:37,Night
2023-10-12,E07780,15:16:07,21:33:18,Morning
2023-07-20,E00031,14:59:07,22:45:24,Evening
2023-01-01,E03323,17:24:06,01:04:37,Evening
2023-06-05,E08706,01:17:05,20:12:45,Night
2023-02-11,E02890,11:04:18,13:36:58,Night
2023-02-08,E03361,12:49:59,06:53:45,Evening
2023-08-22,E08820,15:36:46,04:05:15,Night
2023-03-04,E00404,10:38:15,01:32:56,Evening
2023-04-29,E03369,16:49:32,05:05:20,Evening
2023-01-11,E09322,13:29:13,12:53:48,Night
2023-09-26,E06818,03:37:02,17:04:09,Evening
2023-11-17,E03371,09:26:47,00:13:12,Night
2023-04-04,E02605,17:47:21,10:07:37,Evening
2023-11-13,E01673,22:49:58,08:48:40,Evening
2023-08-21,E00009,13:58:27,13:48:20,Night
2023-12-21,E08749,13:49:52,02:29:28,Evening
2023-11-28,E05433,09:59:02,06:03:07,Evening
2023-08-08,E04340,16:46:20,08:27:46,Morning
2023-06-03,E02544,07:39:00,09:42:39,Evening
2023-02-09,E03510,21:52:08,04:33:46,Night
2023-01-10,E03286,20:50:53,05:27:00,Night
2023-10-05,E04837,01:12:49,22:17:18,Evening
2023-03-17,E09319,03:41:56,18:52:15,Evening
2023-07-24,E09382,06:44:28,10:40:59,Evening
2023-06-18,E07825,22:26:11,00:19:15,Morning
2023-01-06,E00701,09:31:05,00:02:20,Evening
2023-09-24,E01424,04:16:54,03:43:13,Night
2023-07-27,E03078,02:06:48,08:16:39,Night
2023-07-21,E08975,13:53:58,08:27:34,Morning
2023-06-30,E09226,07:08:24,20:00:45,Night
2023-02-22,E06686,17:28:03,13:58:13,Evening
2023-08-11,E09839,21:01:05,19:10:50,Night
2023-02-16,E00365,22:32:11,15:13:55,Night
2023-05-03,E01839,21:56:42,20:59:45,Morning
2023-09-20,E06384,16:14:41,06:23:51,Morning
2023-06-21,E06257,08:55:13,05:17:12,Morning
2023-06-02,E08703,03:16:16,19:45:15,Morning
2023-12-26,E05298,08:35:49,06:31:41,Night
2023-05-07,E06152,08:42:36,22:03:36,Morning
2023-04-18,E08042,06:03:58,02:23:34,Evening
2023-11-02,E07455,08:09:12,01:50:40,Morning
2023-07-24,E01360,03:12:38,21:32:07,Evening
2023-09-10,E00673,01:33:53,10:34:40,Evening
2023-05-01,E07049,17:17:28,17:51:48,Night
2023-03-15,E07642,13:09:09,05:07:07,Night
2023-05-08,E08398,03:01:56,20:22:21,Morning
2023-05-13,E08227,21:25:48,06:41:27,Evening
2023-08-18,E05567,13:15:09,11:26:27,Evening
2023-06-05,E08044,18:47:46,23:16:16,Morning
2023-11-07,E09167,02:30:05,15:06:35,Night
2023-04-08,E01648,19:53:43,20:45:35,Morning
2023-08-14,E01305,14:55:09,19:36:06,Night
2023-08-27,E01201,14:57:27,02:47:54,Morning
2023-12-01,E00555,11:57:46,04:49:32,Evening
2023-09-26,E06602,16:54:02,21:04:37,Evening
2023-09-26,E06137,23:45:38,12:37:10,Morning
2023-09-07,E00290,22:30:22,02:19:23,Night
2023-09-19,E06215,06:56:07,08:07:14,Night
2023-12-24,E01220,14:58:53,23:45:39,Evening
2023-11-16,E06151,14:54:58,20:24:10,Evening
2023-12-13,E01335,07:26:03,23:17:34,Night
2023-12-04,E01174,22:13:19,16:38:34,Evening
2023-10-28,E05590,02:22:35,03:55:12,Morning
2023-08-06,E09598,17:40:26,15:44:38,Morning
2023-08-02,E07206,06:57:00,14:31:03,Morning
2023-11-05,E00606,11:26:04,11:42:18,Night
2023-10-07,E00100,11:52:23,23:04:02,Morning
2023-08-27,E09582,06:15:26,16:41:23,Evening
2023-03-09,E06565,14:33:57,20:13:41,Morning
2023-10-21,E02620,19:29:24,05:33:17,Morning
2023-01-09,E07716,09:13:14,06:03:58,Night
2023-01-08,E05626,13:51:30,01:27:31,Morning
2023-11-15,E07983,06:32:44,00:17:41,Morning
2023-09-14,E09977,03:08:30,19:38:16,Morning
2023-01-10,E07091,18:25:10,15:13:12,Morning
2023-05-21,E00362,16:17:17,00:37:38,Night
2023-10-10,E03622,16:03:50,19:05:00,Evening
2023-02-23,E05069,12:41:58,10:32:55,Morning
2023-07-20,E04390,15:53:52,14:12:47,Evening
2023-06-17,E09998,14:13:05,03:11:07,Morning
2023-10-18,E03711,11:48:25,15:14:36,Night
2023-04-07,E04435,23:12:16,18:11:34,Morning
2023-02-02,E01295,18:46:46,15:46:58,Morning
2023-04-13,E01359,18:19:13,12:19:39,Evening
2023-11-10,E05741,15:38:10,20:42:14,Morning
2023-07-18,E02103,17:53:44,08:40:27,Evening
2023-11-25,E05604,06:54:05,19:39:06,Morning
2023-06-17,E03890,09:05:13,02:01:58,Evening
2023-09-26,E03062,23:26:46,07:38:43,Night
2023-01-26,E00373,15:31:14,21:25:16,Night
2023-07-07,E07651,22:49:00,07:03:59,Night
2023-08-28,E02037,11:11:55,21:01:06,Evening
2023-06-26,E04130,20:40:08,04:20:12,Evening
2023-08-30,E05810,09:17:11,22:54:16,Night
2023-06-28,E00919,06:37:48,14:30:44,Night
2023-09-28,E01681,06:44:54,05:47:51,Night
2023-03-17,E03814,12:02:38,07:31:15,Evening
2023-01-02,E08441,08:20:54,05:07:05,Evening
2023-06-04,E03035,10:49:29,03:07:13,Morning
2023-01-22,E02787,23:44:46,20:25:27,Night
2023-02-26,E09645,11:31:53,10:09:59,Evening
2023-01-24,E06703,13:41:20,04:28:33,Morning
2023-07-20,E07838,14:17:48,22:15:37,Night
2023-12-25,E07809,12:48:49,23:59:51,Morning
2023-07-20,E08102,06:07:31,07:05:14,Night
2023-07-06,E04376,23:28:30,06:13:32,Evening
2023-06-14,E00037,23:12:31,03:40:29,Evening
2023-11-17,E03978,00:04:31,16:13:12,Evening
2023-06-05,E00227,11:58:55,23:36:05,Morning
2023-04-06,E08933,06:13:08,16:41:57,Night
2023-04-03,E05624,01:45:14,05:00:08,Morning
2023-06-14,E00566,12:12:29,14:19:50,Morning
2023-04-29,E01732,19:21:32,21:42:51,Evening
2023-12-21,E01704,19:21:23,00:37:40,Night
2023-09-28,E02657,16:17:07,05:08:04,Night
2023-08-01,E00470,04:14:57,17:50:54,Night
2023-06-09,E04763,07:38:32,05:12:21,Morning
2023-04-10,E04011,12:40:56,14:50:43,Night
2023-07-02,E01404,06:59:54,06:54:55,Evening
2023-02-26,E07691,03:08:37,09:00:08,Morning
2023-09-06,E04066,19:37:06,04:54:47,Morning
2023-12-24,E00263,04:08:03,16:03:10,Night
2023-03-08,E09036,16:28:00,12:16:13,Night
2023-06-18,E08679,07:05:54,04:31:04,Night
2023-11-21,E05406,19:35:08,22:36:16,Evening
2023-12-07,E05570,11:34:02,11:23:31,Morning
2023-08-01,E03877,20:56:23,02:41:52,Morning
2023-11-12,E01160,14:43:35,03:49:43,Night
2023-07-20,E01705,20:01:23,10:34:26,Night
2023-01-18,E07610,11:51:50,11:57:40,Morning
2023-02-07,E09706,14:04:04,20:52:05,Evening
2023-07-23,E04056,05:07:56,07:07:23,Morning
2023-11-19,E04258,14:23:03,01:30:07,Night
2023-01-02,E09295,15:52:41,12:26:00,Evening
2023-08-17,E08047,04:59:55,10:41:54,Night
2023-04-13,E09228,04:32:19,21:15:00,Night
2023-05-02,E08509,04:00:03,21:31:25,Night
2023-11-29,E02382,19:12:29,00:36:54,Night
2023-03-21,E06514,10:08:58,16:50:53,Morning
2023-03-14,E01232,19:38:43,17:00:46,Night
2023-07-17,E00434,08:33:57,12:44:18,Morning
2023-07-16,E03912,21:30:41,23:13:53,Night
2023-08-31,E05352,07:52:12,03:42:47,Night
2023-12-11,E09608,19:57:47,12:34:43,Morning
2023-04-20,E08419,19:47:00,12:05:48,Evening
2023-12-03,E07641,11:08:06,08:09:20,Night
2023-04-28,E06649,13:21:39,15:38:35,Morning
2023-07-13,E04852,02:55:06,13:57:33,Evening
2023-09-10,E05424,22:26:13,10:20:25,Night
2023-10-30,E09880,10:17:59,13:31:54,Night
2023-02-02,E06072,05:19:14,07:25:44,Night
2023-11-22,E04133,02:53:09,22:35:30,Morning
2023-03-30,E07422,15:19:35,12:14:22,Morning
2023-04-22,E01867,21:08:53,04:52:32,Morning
2023-06-22,E09534,15:23:57,13:22:18,Night
2023-05-08,E04889,20:40:52,08:35:03,Morning
2023-01-24,E01493,16:22:39,14:19:53,Morning
2023-05-18,E03580,12:23:52,23:04:13,Morning
2023-09-03,E09254,16:10:53,06:40:34,Evening
2023-09-14,E08347,00:22:15,01:55:17,Morning
2023-02-18,E07464,14:29:44,12:32:46,Night
2023-08-21,E06035,19:37:27,19:43:41,Night
2023-11-16,E08107,15:12:06,12:41:51,Evening
2023-10-07,E01982,03:08:49,04:01:26,Morning
2023-01-23,E06524,22:09:01,19:57:13,Evening
2023-03-26,E03204,04:56:22,09:44:14,Morning
2023-03-30,E07557,08:36:11,06:14:42,Night
2023-01-04,E06954,23:16:22,07:53:48,Night
2023-03-19,E05945,05:09:30,10:18:01,Morning
2023-04-18,E04308,06:29:06,21:07:28,Evening
2023-04-25,E05967,02:32:34,06:27:02,Evening
2023-02-25,E05713,16:13:10,04:07:53,Night
2023-10-16,E00313,02:54:14,11:29:52,Evening
2023-04-05,E09012,11:19:14,12:56:55,Evening
2023-08-12,E06674,03:22:39,23:10:30,Morning
2023-01-09,E06112,00:43:39,15:25:41,Morning
2023-03-30,E06222,20:07:01,10:43:50,Morning
2023-07-01,E07531,17:32:22,23:48:00,Night
2023-01-31,E03421,10:19:56,19:24:10,Morning
2023-01-21,E06680,05:33:42,07:12:37,Night
2023-07-04,E07170,20:51:05,07:15:40,Night
2023-03-25,E06337,20:09:42,18:54:04,Night
2023-10-29,E07652,15:14:18,05:25:17,Evening
2023-09-08,E03118,08:51:17,21:35:57,Morning
2023-05-12,E07961,13:20:46,06:39:34,Morning
2023-01-09,E02050,20:27:42,23:12:43,Evening
2023-12-18,E02344,04:35:22,11:03:42,Night
2023-11-21,E02296,08:07:00,10:13:17,Morning
2023-07-18,E09292,18:32:39,12:39:30,Evening
2023-12-12,E02667,10:39:04,04:43:16,Night
2023-08-30,E06934,17:31:10,12:13:26,Night
2023-10-02,E01519,15:30:27,01:09:27,Morning
2023-08-05,E08985,20:46:54,13:05:29,Morning
2023-05-20,E05150,19:54:28,19:52:46,Morning
2023-11-22,E06172,04:42:25,13:31:00,Evening
2023-07-24,E05538,13:13:15,03:12:34,Evening
2023-07-28,E09557,21:40:00,14:45:49,Evening
2023-12-20,E09506,01:27:11,09:39:20,Night
2023-07-06,E09916,13:41:32,11:18:00,Night
2023-03-23,E09423,16:14:06,17:32:41,Night
2023-07-14,E06980,10:53:13,15:08:58,Evening
2023-03-06,E05259,13:33:33,14:13:38,Morning
2023-06-12,E02386,23:47:17,12:58:08,Night
2023-06-14,E01469,04:32:10,10:18:56,Evening
2023-10-05,E09261,23:20:49,04:41:56,Evening
2023-08-01,E05135,10:56:56,15:12:16,Evening
2023-04-12,E05003,01:38:22,10:23:22,Night
2023-08-02,E05413,01:34:08,02:24:38,Morning
2023-06-02,E01078,21:15:38,14:07:15,Night
2023-06-15,E02025,20:53:43,10:03:15,Night
2023-05-14,E04952,19:55:40,19:15:59,Morning
2023-12-21,E04110,21:39:12,22:14:07,Night
2023-12-07,E05568,22:32:52,12:57:56,Evening
2023-10-22,E09949,23:33:37,13:54:00,Night
2023-06-17,E05077,04:21:32,08:03:24,Morning
2023-08-28,E02916,07:00:33,03:17:47,Evening
2023-11-18,E00004,01:14:38,15:28:45,Night
2023-11-02,E01891,00:27:57,10:46:20,Evening
2023-02-27,E00718,11:03:49,09:29:53,Evening
2023-12-16,E00167,21:07:17,15:05:57,Morning
2023-06-20,E06997,02:56:09,04:08:19,Morning
2023-07-08,E00943,22:19:11,11:45:09,Night
2023-08-11,E07930,05:42:10,18:36:40,Morning
2023-05-30,E02088,03:00:14,06:31:07,Morning
2023-04-15,E01461,09:40:34,17:16:09,Morning
2023-09-03,E05579,02:44:33,07:19:09,Night
2023-06-12,E01493,16:28:04,08:22:02,Morning
2023-06-19,E04134,13:07:12,06:21:40,Night
2023-04-23,E06736,10:15:39,06:42:51,Morning
2023-10-05,E04796,09:02:26,00:23:40,Evening
2023-11-28,E09161,15:51:39,20:24:54,Morning
2023-07-09,E09347,08:57:49,10:36:09,Evening
2023-04-02,E05927,03:40:57,07:13:39,Night
2023-06-26,E01710,20:34:29,04:50:24,Evening
2023-01-08,E07744,16:00:33,01:43:54,Night
2023-09-27,E02752,16:09:46,11:59:14,Morning
2023-12-17,E06102,13:08:42,09:08:16,Night
2023-06-10,E08999,15:00:34,14:51:27,Night
2023-08-06,E01886,19:16:24,05:56:54,Evening
2023-06-21,E03777,07:01:16,08:12:15,Morning
2023-05-11,E09229,05:14:53,23:45:49,Evening
2023-08-17,E04856,17:29:45,16:39:22,Morning
2023-07-13,E01088,17:03:14,10:09:05,Morning
2023-01-25,E05461,13:45:06,23:09:03,Evening
2023-12-29,E00409,18:06:51,18:19:08,Morning
2023-04-18,E09702,10:50:28,12:09:48,Night
2023-09-03,E00130,23:26:42,10:55:27,Morning
2023-10-02,E02150,10:17:22,02:08:19,Morning
2023-06-12,E08827,13:19:04,05:19:23,Evening
2023-04-21,E04710,17:09:01,12:16:22,Night
2023-10-04,E06754,17:24:00,15:55:17,Morning
2023-03-11,E03135,22:17:24,15:16:47,Evening
