Employee ID,Overtime Hours,Regular Hours,Pay per Hour,Total Salary
E09199,13,173,49.45,9197.7
E04672,7,134,36.89,5201.49
E08551,10,128,25.32,3494.16
E08496,6,138,31.6,4550.4
E03418,7,148,26.95,4177.25
E03961,2,142,14.67,2112.48
E03893,9,124,47.35,6297.55
E04453,4,143,36.31,5337.57
E00558,11,135,31.36,4578.56
E07523,6,161,34.84,5818.28
E02763,19,180,18.25,3631.75
E08448,0,156,37.17,5798.52
E01266,4,120,29.37,3641.88
E05303,11,163,23.19,4035.06
E05415,3,143,46.45,6781.7
E07829,11,130,13.48,1900.68
E01211,14,178,10.31,1979.52
E08597,0,180,26.12,4701.6
E01126,9,125,38.59,5171.06
E00843,5,155,33.5,5360.0
E03215,6,128,25.27,3386.18
E07703,3,153,16.62,2592.72
E02147,19,176,11.77,2295.15
E09086,12,141,34.69,5307.57
E02898,17,157,36.93,6425.82
E02179,3,156,22.4,3561.6
E07454,16,168,26.47,4870.48
E04981,13,174,24.4,4562.8
E02418,17,157,14.85,2583.9
E05257,18,160,22.94,4083.32
E02730,19,126,39.55,5734.75
E02317,15,151,36.59,6073.94
E06158,7,121,16.56,2119.68
E01026,1,150,44.93,6784.43
E03565,18,134,37.27,5665.04
E01729,11,179,19.12,3632.8
E02776,1,161,32.59,5279.58
E00220,10,136,17.48,2552.08
E02728,9,179,19.77,3716.76
E07108,8,175,39.21,7175.43
E00297,4,127,43.31,5673.61
E05208,18,130,35.71,5285.08
E01433,2,172,10.15,1766.1
E00416,3,167,34.48,5861.6
E01953,3,124,29.65,3765.55
E03889,5,138,11.72,1675.96
E06599,16,138,23.86,3674.44
E00407,13,148,38.28,6163.08
E09313,5,161,19.91,3305.06
E03908,2,158,49.0,7840.0
E06125,5,138,29.3,4189.9
E06508,8,165,20.46,3539.58
E03745,13,156,37.42,6323.98
E02044,0,164,29.53,4842.92
E00220,3,155,17.48,2761.84
E06601,10,164,27.6,4802.4
E00304,16,171,13.39,2503.93
E04293,2,164,26.69,4430.54
E01348,11,165,25.67,4517.92
E02120,1,133,48.05,6438.7
E06022,0,148,17.29,2558.92
E07513,9,129,19.07,2631.66
E08355,11,180,28.79,5498.89
E01293,16,143,47.36,7530.24
E08218,2,151,39.35,6020.55
E04048,5,127,18.37,2424.84
E01600,1,149,35.28,5292.0
E02107,20,148,27.57,4631.76
E08447,11,157,27.78,4667.04
E08769,7,136,15.65,2237.95
E04405,19,151,49.43,8403.1
E09677,20,165,48.77,9022.45
E03890,17,140,20.34,3193.38
E08020,13,138,19.25,2906.75
E01753,5,136,29.33,4135.53
E08936,8,172,48.93,8807.4
E00862,19,146,48.8,8052.0
E09236,11,128,49.1,6824.9
E08599,12,148,42.45,6792.0
E04115,1,140,25.84,3643.44
E03917,8,121,38.99,5029.71
E09440,9,178,39.13,7317.31
E04429,5,143,35.45,5246.6
E00076,3,154,33.78,5303.46
E09629,7,152,46.16,7339.44
E06702,13,128,23.47,3309.27
E08847,6,126,20.03,2643.96
E06561,1,159,10.45,1672.0
E03192,10,154,30.17,4947.88
E00527,14,156,15.91,2704.7
E09471,15,124,29.97,4165.83
E06649,11,145,36.94,5762.64
E03875,0,172,38.83,6678.76
E06174,13,161,40.11,6979.14
E08577,5,130,42.46,5732.1
E09739,12,146,44.25,6991.5
E00401,1,161,28.25,4576.5
E07488,1,150,37.98,5734.98
E02354,15,154,45.32,7659.08
E03380,6,175,43.47,7868.07
E07867,5,169,41.87,7285.38
E03106,4,167,14.67,2508.57
E07901,9,148,12.26,1924.82
E00986,13,146,22.61,3594.99
E05829,17,123,49.44,6921.6
E03942,11,166,10.27,1817.79
E08428,7,178,28.07,5192.95
E08292,12,121,49.22,6546.26
E09362,4,159,41.39,6746.57
E08525,15,123,17.19,2372.22
E05954,2,170,17.01,2925.72
E09450,7,176,37.98,6950.34
E04410,4,142,24.57,3587.22
E07252,12,124,35.27,4796.72
E04655,4,170,35.87,6241.38
E08357,19,164,47.79,8745.57
E08122,12,144,11.45,1786.2
E01846,11,121,34.75,4587.0
E03050,7,136,49.72,7109.96
E03830,11,179,14.75,2802.5
E09634,5,123,48.84,6251.52
E06735,8,138,49.03,7158.38
E01004,15,167,35.6,6479.2
E07797,7,173,44.04,7927.2
E04535,9,176,42.49,7860.65
E09955,13,138,47.46,7166.46
E02276,5,126,30.39,3981.09
E06049,2,157,40.12,6379.08
E03852,2,137,40.76,5665.64
E08454,8,152,11.22,1795.2
E08859,8,164,13.96,2401.12
E04292,10,168,26.13,4651.14
E02471,18,149,33.6,5611.2
E07692,7,167,35.03,6095.22
E08444,6,170,38.21,6724.96
E07796,8,143,32.73,4942.23
E07786,2,153,37.07,5745.85
E08909,5,148,49.55,7581.15
E09840,1,135,16.41,2231.76
E00552,10,136,17.03,2486.38
E05842,6,160,41.96,6965.36
E02870,3,133,33.79,4595.44
E05901,8,127,44.21,5968.35
E05219,11,159,43.54,7401.8
E03943,12,163,17.42,3048.5
E08187,12,164,27.45,4831.2
E03699,18,144,21.94,3554.28
E04382,0,127,21.39,2716.53
E02707,18,120,30.56,4217.28
E04306,1,172,11.79,2039.67
E09445,11,122,19.63,2610.79
E06493,9,171,14.18,2552.4
E00833,1,172,30.13,5212.49
E03318,9,149,42.07,6647.06
E08166,2,138,18.73,2622.2
E04788,9,122,20.61,2699.91
E08118,3,148,38.64,5834.64
E02282,17,131,11.94,1767.12
E02022,20,127,16.95,2491.65
E01667,17,178,45.34,8841.3
E06880,1,154,48.5,7517.5
E05777,3,148,25.0,3775.0
E00103,11,165,14.24,2506.24
E09458,3,122,26.61,3326.25
E09453,17,169,35.83,6664.38
E04037,20,159,44.57,7978.03
E06615,3,125,35.67,4565.76
E07427,8,160,11.35,1906.8
E08042,6,173,40.87,7315.73
E06964,12,127,33.84,4703.76
E02057,10,149,36.26,5765.34
E06472,4,132,12.7,1727.2
E04377,12,143,14.63,2267.65
E08786,14,153,25.27,4220.09
E05486,18,166,13.78,2535.52
E03031,16,171,17.46,3265.02
E07318,11,169,23.19,4174.2
E01748,20,157,20.87,3693.99
E06374,14,171,40.62,7514.7
E08078,7,122,19.61,2529.69
E06016,13,162,44.49,7785.75
E01612,12,174,23.34,4341.24
E09801,5,162,20.86,3483.62
E06956,3,179,11.86,2158.52
E02469,13,144,38.84,6097.88
E08241,6,172,19.22,3421.16
E08532,1,148,19.98,2977.02
E06694,6,163,16.94,2862.86
E07014,4,165,26.89,4544.41
E01040,11,132,19.43,2778.49
E02793,4,156,41.32,6611.2
E07294,9,137,23.23,3391.58
E02454,3,150,20.05,3067.65
E02943,8,158,14.48,2403.68
E01421,9,155,41.31,6774.84
E03651,2,129,35.46,4645.26
E00619,9,139,46.35,6859.8
E05825,9,160,26.16,4421.04
E02558,20,131,16.55,2499.05
E01156,15,170,47.58,8802.3
E07406,2,167,23.33,3942.77
E06084,20,162,27.08,4928.56
E01345,10,168,16.67,2967.26
E07022,5,167,38.79,6671.88
E06918,13,142,39.39,6105.45
E07057,16,147,18.47,3010.61
E07780,19,173,28.01,5377.92
E00031,8,164,13.68,2352.96
E03323,5,127,48.72,6431.04
E08706,17,166,42.33,7746.39
E02890,4,142,30.67,4477.82
E03361,6,172,12.49,2223.22
E08820,5,158,49.42,8055.46
E00404,10,154,22.57,3701.48
E03369,8,141,35.87,5344.63
E09322,11,126,28.01,3837.37
E06818,0,140,39.85,5579.0
E03371,6,124,41.94,5452.2
E02605,13,179,26.44,5076.48
E01673,2,159,36.06,5805.66
E00009,9,127,29.24,3976.64
E08749,17,146,30.88,5033.44
E05433,18,175,29.3,5654.9
E04340,0,133,14.32,1904.56
E02544,4,165,34.93,5903.17
E03510,17,166,20.19,3694.77
E03286,11,123,34.31,4597.54
E04837,0,162,16.11,2609.82
E09319,0,179,15.94,2853.26
E09382,4,159,34.32,5594.16
E07825,10,132,26.04,3697.68
E00701,19,130,47.81,7123.69
E01424,8,175,43.18,7901.94
E03078,7,149,37.25,5811.0
E08975,4,126,49.83,6477.9
E09226,20,156,21.64,3808.64
E06686,17,156,38.53,6665.69
E09839,8,153,27.91,4493.51
E00365,14,160,21.12,3674.88
E01839,11,137,38.29,5666.92
E06384,20,164,24.59,4524.56
E06257,11,152,37.5,6112.5
E08703,1,179,27.61,4969.8
E05298,16,123,40.43,5619.77
E06152,4,147,40.22,6073.22
E08042,2,171,40.87,7070.51
E07455,3,151,22.28,3431.12
E01360,9,175,18.52,3407.68
E00673,10,164,48.1,8369.4
E07049,10,122,41.32,5454.24
E07642,8,139,42.96,6315.12
E08398,5,166,16.05,2744.55
E08227,9,136,20.24,2934.8
E05567,12,140,34.34,5219.68
E08044,1,155,12.82,1999.92
E09167,2,131,25.62,3407.46
E01648,6,122,45.38,5808.64
E01305,3,121,18.88,2341.12
E01201,14,160,42.78,7443.72
E00555,20,136,14.4,2246.4
E06602,19,171,43.52,8268.8
E06137,19,162,38.78,7019.18
E00290,18,168,48.34,8991.24
E06215,13,145,33.49,5291.42
E01220,2,129,39.88,5224.28
E06151,9,148,17.04,2675.28
E01335,7,130,45.72,6263.64
E01174,18,129,14.02,2060.94
E05590,16,147,44.02,7175.26
E09598,19,144,15.64,2549.32
E07206,6,164,35.49,6033.3
E00606,19,142,35.04,5641.44
E00100,4,137,23.74,3347.34
E09582,4,158,38.18,6185.16
E06565,0,134,15.88,2127.92
E02620,9,141,27.12,4068.0
E07716,17,136,39.05,5974.65
E05626,9,165,30.58,5320.92
E07983,1,150,25.44,3841.44
E09977,10,167,49.8,8814.6
E07091,16,131,39.4,5791.8
E00362,15,127,17.65,2506.3
E03622,8,143,26.72,4034.72
E05069,7,161,42.23,7094.64
E04390,17,180,31.76,6256.72
E09998,0,163,49.41,8053.83
E03711,1,124,19.98,2497.5
E04435,19,127,33.79,4933.34
E01295,3,134,25.79,3533.23
E01359,3,127,19.68,2558.4
E05741,11,160,11.12,1901.52
E02103,10,147,32.05,5031.85
E05604,5,157,28.23,4573.26
E03890,3,155,20.34,3213.72
E03062,18,124,10.93,1552.06
E00373,18,167,19.31,3572.35
E07651,5,157,34.81,5639.22
E02037,9,143,19.94,3030.88
E04130,4,166,23.21,3945.7
E05810,14,172,44.64,8303.04
E00919,13,166,30.81,5514.99
E01681,17,146,39.5,6438.5
E03814,10,132,24.17,3432.14
E08441,0,145,23.11,3350.95
E03035,1,170,48.69,8325.99
E02787,16,131,29.05,4270.35
E09645,11,135,34.17,4988.82
E06703,18,173,39.04,7456.64
E07838,9,120,20.08,2590.32
E07809,8,150,14.13,2232.54
E08102,18,157,31.03,5430.25
E04376,2,151,28.89,4420.17
E00037,8,154,27.05,4382.1
E03978,13,137,17.94,2691.0
E00227,2,150,28.55,4339.6
E08933,1,161,43.35,7022.7
E05624,13,154,47.66,7959.22
E00566,19,148,30.83,5148.61
E01732,9,154,25.76,4198.88
E01704,14,172,31.43,5845.98
E02657,6,160,38.29,6356.14
E00470,14,141,34.51,5349.05
E04763,9,120,48.37,6239.73
E04011,17,169,37.21,6921.06
E01404,14,166,47.49,8548.2
E07691,15,129,49.2,7084.8
E04066,14,129,44.03,6296.29
E00263,2,159,49.72,8004.92
E09036,5,140,21.77,3156.65
E08679,19,125,13.79,1985.76
E05406,15,132,14.2,2087.4
E05570,17,145,16.5,2673.0
E03877,17,136,32.08,4908.24
E01160,18,152,44.91,7634.7
E01705,20,132,35.0,5320.0
E07610,5,145,24.51,3676.5
E09706,2,166,36.92,6202.56
E04056,1,131,32.43,4280.76
E04258,6,148,46.82,7210.28
E09295,6,176,48.03,8741.46
E08047,2,163,18.11,2988.15
E09228,20,177,14.62,2880.14
E08509,20,144,41.13,6745.32
E02382,16,146,36.72,5948.64
E06514,0,135,21.79,2941.65
E01232,14,122,23.31,3170.16
E00434,11,177,20.86,3921.68
E03912,12,163,31.39,5493.25
E05352,19,166,24.37,4508.45
E09608,2,162,12.34,2023.76
E08419,11,127,19.71,2719.98
E07641,6,129,48.87,6597.45
E06649,19,137,36.94,5762.64
E04852,2,136,13.7,1890.6
E05424,4,162,12.0,1992.0
E09880,0,151,44.29,6687.79
E06072,10,180,31.04,5897.6
E04133,2,120,34.13,4163.86
E07422,15,130,11.26,1632.7
E01867,18,154,26.86,4619.92
E09534,14,140,13.09,2015.86
E04889,10,154,42.7,7002.8
E01493,10,134,15.26,2197.44
E03580,0,126,27.84,3507.84
E09254,20,132,37.64,5721.28
E08347,4,139,11.49,1643.07
E07464,10,146,41.45,6466.2
E06035,3,179,21.98,4000.36
E08107,20,136,18.0,2808.0
E01982,11,140,40.03,6044.53
E06524,0,148,19.44,2877.12
E03204,18,146,30.65,5026.6
E07557,15,148,24.6,4009.8
E06954,11,166,49.09,8688.93
E05945,6,170,49.76,8757.76
E04308,12,157,30.58,5168.02
E05967,6,126,16.28,2148.96
E05713,16,173,36.06,6815.34
E00313,0,178,21.93,3903.54
E09012,18,156,15.33,2667.42
E06674,0,168,17.16,2882.88
E06112,20,123,32.11,4591.73
E06222,14,170,35.72,6572.48
E07531,18,146,47.82,7842.48
E03421,1,121,43.03,5249.66
E06680,7,174,10.13,1833.53
E07170,17,149,46.02,7639.32
E06337,3,155,21.97,3471.26
E07652,1,179,10.28,1850.4
E03118,20,129,10.59,1577.91
E07961,4,128,15.35,2026.2
E02050,8,121,28.31,3651.99
E02344,0,163,35.38,5766.94
E02296,1,122,44.23,5440.29
E09292,19,160,31.36,5613.44
E02667,0,128,43.42,5557.76
E06934,3,145,42.26,6254.48
E01519,18,149,43.81,7316.27
E08985,5,125,17.6,2288.0
E05150,10,162,36.58,6291.76
E06172,7,165,36.33,6248.76
E05538,6,157,34.75,5664.25
E09557,6,144,13.16,1974.0
E09506,4,120,15.99,1982.76
E09916,19,159,25.47,4533.66
E09423,19,157,42.02,7395.52
E06980,13,134,46.98,6906.06
E05259,18,126,29.82,4294.08
E02386,19,141,30.26,4841.6
E01469,17,129,17.0,2482.0
E09261,14,124,34.69,4787.22
E05135,6,142,40.35,5971.8
E05003,13,142,43.51,6744.05
E05413,6,129,35.81,4834.35
E01078,19,178,20.02,3943.94
E02025,10,131,43.55,6140.55
E04952,13,167,31.67,5700.6
E04110,10,174,20.57,3784.88
E05568,3,179,17.96,3268.72
E09949,0,121,29.52,3571.92
E05077,19,136,16.57,2568.35
E02916,5,149,46.72,7194.88
E00004,3,165,32.05,5384.4
E01891,4,132,26.0,3536.0
E00718,0,129,37.36,4819.44
E00167,5,155,23.48,3756.8
E06997,0,170,46.84,7962.8
E00943,6,140,40.18,5866.28
E07930,2,156,41.33,6530.14
E02088,5,179,12.13,2231.92
E01461,8,174,38.11,6936.02
E05579,15,148,24.81,4044.03
E01493,13,158,15.26,2609.46
E04134,8,122,46.9,6097.0
E06736,4,168,16.88,2903.36
E04796,10,124,15.83,2121.22
E09161,15,134,27.93,4161.57
E09347,18,152,22.55,3833.5
E05927,19,166,21.83,4038.55
E01710,20,151,10.53,1800.63
E07744,5,163,15.79,2652.72
E02752,12,178,34.68,6589.2
E06102,8,152,47.48,7596.8
E08999,3,148,30.73,4640.23
E01886,20,170,16.91,3212.9
E03777,4,139,11.88,1698.84
E09229,15,151,40.75,6764.5
E04856,19,163,25.73,4682.86
E01088,9,136,47.94,6951.3
E05461,1,137,24.64,3400.32
E00409,1,147,27.77,4109.96
E09702,20,122,16.5,2343.0
E00130,12,140,25.77,3917.04
E02150,12,170,28.07,5108.74
E08827,3,123,35.6,4485.6
E04710,19,144,35.76,5828.88
E06754,3,130,43.86,5833.38
E03135,12,160,30.6,5263.2
E05094,17,139,22.74,3547.44
E08282,17,137,31.09,4787.86
E01559,12,128,22.35,3129.0
E07226,13,152,12.42,2049.3
E03141,5,171,25.83,4546.08
E03739,15,151,47.64,7908.24
E04761,8,157,21.73,3585.45
E06740,10,163,45.0,7785.0
E05489,11,179,27.74,5270.6
E06333,12,149,38.21,6151.81
E01401,14,125,46.63,6481.57
E02011,2,162,16.46,2699.44
E06277,17,165,11.43,2080.26
E07728,15,165,39.37,7086.6
E03357,17,153,38.44,6534.8
E06440,3,160,14.12,2301.56
E03259,3,129,25.98,3429.36
E07709,9,125,34.5,4623.0
E08620,1,135,31.3,4256.8
E08834,16,177,14.4,2779.2
E08035,12,176,27.28,5128.64
E09584,16,164,43.24,7783.2
E00931,3,124,25.28,3210.56
E06054,17,169,30.93,5752.98
E04289,9,148,39.66,6226.62
E04648,5,166,34.56,5909.76
E07178,14,160,36.25,6307.5
E03168,17,171,48.14,9050.32
E04231,15,125,47.37,6631.8
E09775,16,179,14.41,2809.95
E08583,19,135,12.64,1946.56
E03352,16,138,33.31,5129.74
E02246,1,169,23.56,4005.2
E00360,10,126,24.57,3341.52
E08128,17,168,17.91,3313.35
E08985,16,128,17.6,2534.4
E06675,17,156,40.7,7041.1
E00244,11,166,25.01,4426.77
E06280,10,137,30.92,4545.24
E06027,14,165,16.94,3032.26
E05395,2,121,22.16,2725.68
E08026,1,170,19.65,3360.15
E02160,19,121,22.06,3088.4
E06374,12,144,40.62,6336.72
E06860,15,120,41.34,5580.9
E04689,18,156,46.86,8153.64
E00467,11,142,40.98,6269.94
E04949,9,178,45.79,8562.73
E02575,10,147,20.81,3267.17
E01186,10,162,16.57,2850.04
E08961,12,170,23.22,4226.04
E09773,4,129,18.23,2424.59
E03729,9,142,14.78,2231.78
E03263,1,144,39.91,5786.95
E04484,8,161,39.07,6602.83
E05853,7,169,29.74,5234.24
E08965,13,127,17.1,2394.0
E02204,7,131,15.03,2074.14
E00404,4,128,22.57,2979.24
E01059,16,169,17.19,3180.15
E04669,0,128,14.01,1793.28
E06655,19,129,18.0,2664.0
E08678,5,147,23.66,3596.32
E00692,10,124,29.37,3935.58
E00991,19,151,28.53,4850.1
E09144,8,130,32.76,4520.88
E00029,10,161,21.75,3719.25
E08775,17,171,14.57,2739.16
E07505,16,152,16.84,2829.12
E01027,17,156,24.05,4160.65
E01333,15,141,43.97,6859.32
E05945,6,140,49.76,7264.96
E06321,20,142,42.29,6850.98
E05558,7,165,25.1,4317.2
E02784,13,127,21.09,2952.6
E01579,8,127,35.99,4858.65
E02551,17,138,20.88,3236.4
E07382,16,124,41.06,5748.4
E04018,4,150,26.38,4062.52
E03888,0,149,44.68,6657.32
E03872,5,139,26.03,3748.32
E02153,14,131,29.54,4283.3
E05685,12,170,15.7,2857.4
E06755,4,172,49.65,8738.4
E07874,7,174,12.28,2222.68
E05627,14,158,24.44,4203.68
E02179,5,177,22.4,4076.8
E07015,11,175,23.29,4331.94
E00782,15,124,30.55,4246.45
E02776,17,143,32.59,5214.4
E05883,1,151,17.66,2684.32
E08895,2,156,17.62,2783.96
E02229,7,144,18.07,2728.57
E02522,1,134,21.47,2898.45
E04996,5,149,30.07,4630.78
E04753,15,132,32.63,4796.61
E09753,18,145,13.54,2207.02
E02543,17,170,24.39,4560.93
E06943,19,127,39.4,5752.4
E07232,6,169,14.83,2595.25
E06234,6,151,15.54,2439.78
E06840,10,175,16.71,3091.35
E04381,0,121,28.32,3426.72
E00512,2,160,44.31,7178.22
E01520,18,152,38.1,6477.0
E06877,11,138,19.34,2881.66
E02598,8,160,36.48,6128.64
E06595,4,139,15.34,2193.62
E00261,4,180,30.08,5534.72
E09427,11,138,28.18,4198.82
E06466,18,144,40.97,6637.14
E05870,14,153,13.09,2186.03
E01271,9,129,34.43,4751.34
E08276,6,126,19.92,2629.44
E00833,18,138,30.13,4700.28
E00517,19,126,27.65,4009.25
E05150,1,141,36.58,5194.36
E01675,15,164,15.34,2745.86
E06089,10,171,32.81,5938.61
E01818,13,153,30.26,5023.16
E03042,1,174,43.33,7582.75
E07103,1,140,30.86,4351.26
E01763,18,139,18.26,2866.82
E09656,18,120,19.04,2627.52
E06447,6,155,25.03,4029.83
E00557,16,173,16.7,3156.3
E04129,12,132,39.71,5718.24
E05264,12,148,43.09,6894.4
E01381,1,120,47.68,5769.28
E07793,15,167,26.05,4741.1
E04803,18,167,17.13,3169.05
E09109,7,125,14.35,1894.2
E02757,14,151,25.42,4194.3
E08448,13,179,37.17,7136.64
E08961,3,158,23.22,3738.42
E06191,20,168,12.76,2398.88
E06755,17,160,49.65,8788.05
E00437,16,142,48.15,7607.7
E02639,0,169,23.31,3939.39
E04654,0,153,36.94,5651.82
E07989,16,132,14.73,2180.04
E03055,20,149,36.58,6182.02
E02821,16,127,47.63,6811.09
E08440,11,148,41.37,6577.83
E06935,7,151,11.69,1847.02
E00476,17,137,11.62,1789.48
E05577,14,165,15.73,2815.67
E03671,5,150,22.72,3521.6
E02957,4,171,15.24,2667.0
E06506,16,161,46.79,8281.83
E03465,18,142,32.66,5225.6
E04337,12,179,18.99,3627.09
E05083,12,153,36.7,6055.5
E06706,17,122,27.48,3819.72
E06050,16,180,13.24,2595.04
E04836,10,150,23.32,3731.2
E08023,8,155,16.03,2612.89
E05947,14,165,45.26,8101.54
E02504,11,151,40.45,6552.9
E01225,15,139,22.59,3478.86
E05445,15,140,23.39,3625.45
E01156,17,157,47.58,8278.92
E03844,16,122,44.8,6182.4
E09912,17,162,25.63,4587.77
E08302,4,147,12.61,1904.11
E00527,20,136,15.91,2481.96
E09698,9,147,13.85,2160.6
E04236,5,163,33.96,5705.28
E03728,9,162,14.93,2553.03
E04266,7,158,49.42,8154.3
E08515,1,169,21.96,3733.2
E05559,8,128,39.67,5395.12
E07737,3,163,47.41,7870.06
E00172,18,125,13.17,1883.31
E09114,17,175,43.04,8263.68
E08372,14,146,20.12,3219.2
E03232,12,164,48.79,8587.04
E02925,2,160,30.72,4976.64
E08912,5,148,44.44,6799.32
E05073,6,129,40.23,5431.05
E09137,11,175,25.35,4715.1
E07080,0,160,25.54,4086.4
E00155,11,166,36.61,6479.97
E04945,10,134,33.56,4832.64
E01469,17,180,17.0,3349.0
E08192,12,173,12.19,2255.15
E05340,2,150,29.31,4455.12
E01102,14,153,32.93,5499.31
E01723,4,166,31.18,5300.6
E06416,18,147,37.07,6116.55
E05290,10,165,12.74,2229.5
E00218,15,138,22.85,3496.05
E01585,16,177,47.95,9254.35
E05696,10,122,10.87,1434.84
E02180,18,179,48.91,9635.27
E02881,1,147,46.3,6852.4
E04013,8,152,24.02,3843.2
E07852,19,143,47.1,7630.2
E02058,4,137,20.07,2829.87
E04223,19,168,26.65,4983.55
E09719,14,139,44.32,6780.96
E04727,5,165,38.51,6546.7
E00645,16,163,10.68,1911.72
E02990,14,163,19.64,3476.28
E08081,4,122,34.43,4338.18
E07616,7,130,29.37,4023.69
E04821,2,132,12.2,1634.8
E05066,13,167,34.2,6156.0
E08422,14,143,37.05,5816.85
E04640,5,132,15.67,2146.79
E06156,16,156,29.35,5048.2
E01366,18,148,44.28,7350.48
E06154,20,154,46.87,8155.38
E06593,4,121,18.78,2347.5
E06580,19,180,28.14,5599.86
E07443,9,133,11.56,1641.52
E02063,19,132,22.56,3406.56
E07619,12,147,17.67,2809.53
E02522,9,143,21.47,3263.44
E09092,13,123,46.12,6272.32
E00358,2,132,13.69,1834.46
E01996,11,156,17.72,2959.24
E05234,9,150,22.64,3599.76
E03646,17,151,10.89,1829.52
E02785,7,130,48.1,6589.7
E07405,14,143,26.56,4169.92
E06604,13,175,16.13,3032.44
E05826,8,176,17.82,3278.88
E09106,4,135,35.38,4917.82
E09212,16,133,18.56,2765.44
E07408,1,129,19.24,2501.2
E04808,12,147,47.91,7617.69
E07788,19,125,15.8,2275.2
E08662,20,164,19.02,3499.68
E07516,7,144,27.43,4141.93
E07863,10,173,44.93,8222.19
E08971,17,166,27.25,4986.75
E04189,15,150,37.58,6200.7
E04811,6,151,26.39,4143.23
E03255,1,140,40.22,5671.02
E03415,2,174,27.76,4885.76
E05809,0,145,28.46,4126.7
E05601,4,123,23.92,3037.84
E00773,4,147,19.04,2875.04
E01054,7,158,24.25,4001.25
E07279,16,149,48.37,7981.05
E06828,18,125,39.17,5601.31
E04597,5,160,43.63,7198.95
E08241,13,140,19.22,2940.66
E09498,7,180,17.17,3210.79
E09801,7,127,20.86,2795.24
E00650,8,170,24.62,4382.36
E07581,11,179,16.61,3155.9
E04768,9,171,18.03,3245.4
E05553,10,159,43.25,7309.25
E06517,12,179,44.48,8495.68
E01522,14,177,20.77,3967.07
E08955,13,159,47.38,8149.36
E01148,17,139,41.98,6548.88
E01826,11,143,29.29,4510.66
E03703,2,144,15.48,2260.08
E06445,11,177,22.07,4149.16
E03885,15,130,32.02,4642.9
E06132,13,130,44.53,6367.79
E09859,10,179,34.78,6573.42
E03888,14,149,44.68,7282.84
E02829,12,134,40.69,5940.74
E08253,5,158,41.48,6761.24
E02822,2,166,27.2,4569.6
E06649,5,156,36.94,5947.34
E08523,2,171,26.79,4634.67
E07662,14,136,20.25,3037.5
E03958,12,175,39.91,7463.17
E06396,15,169,48.23,8874.32
E04439,11,153,28.51,4675.64
E01030,20,129,49.94,7441.06
E05362,0,151,49.49,7472.99
E05702,0,129,18.94,2443.26
E05696,11,144,10.87,1684.85
E00313,14,149,21.93,3574.59
E06596,3,142,35.52,5150.4
E02081,2,141,15.27,2183.61
E07285,4,146,34.22,5133.0
E06436,20,160,39.02,7023.6
E02160,12,168,22.06,3970.8
E05353,11,128,12.46,1731.94
E07055,4,159,27.77,4526.51
E04543,1,126,13.86,1760.22
E03480,8,159,23.07,3852.69
E02808,9,136,40.74,5907.3
E03848,7,147,45.91,7070.14
E02473,18,122,24.4,3416.0
E09237,9,134,26.97,3856.71
E08385,5,130,33.37,4504.95
E07187,17,171,35.96,6760.48
E07007,11,165,32.29,5683.04
