Order ID,Production Start Date,Completion Date,Delays (days),Issues
O000060,2023-10-22,2023-10-31,1,Material Shortage
O000061,2023-03-03,2023-03-07,1,Quality Issue
O000062,2023-11-27,2023-11-30,1,Machine Breakdown
O000063,2023-05-13,2023-05-17,1,Quality Issue
O000064,2023-10-31,2023-11-02,2,Material Shortage
O000065,2023-01-13,2023-01-23,2,Material Shortage
O000066,2023-07-26,2023-08-05,4,Machine Breakdown
O000067,2023-05-20,2023-05-24,3,Material Shortage
O000068,2023-11-11,2023-11-13,3,Quality Issue
O000069,2023-05-30,2023-06-06,4,Quality Issue
O000070,2023-06-20,2023-06-26,1,Material Shortage
O000071,2023-10-13,2023-10-23,0,Quality Issue
O000072,2023-05-21,2023-05-22,3,None
O000073,2023-06-07,2023-06-12,4,Machine Breakdown
O000074,2023-04-22,2023-05-02,0,Quality Issue
O000075,2023-02-26,2023-03-05,0,Material Shortage
O000076,2023-04-05,2023-04-06,1,Machine Breakdown
O000077,2023-03-26,2023-03-28,3,None
O000078,2023-02-22,2023-02-28,3,Quality Issue
O000079,2023-12-06,2023-12-07,3,None
O000080,2023-03-22,2023-03-31,4,Machine Breakdown
O000081,2023-05-11,2023-05-12,3,Machine Breakdown
O000082,2023-03-05,2023-03-10,4,Material Shortage
O000083,2023-03-29,2023-04-07,0,Quality Issue
O000084,2023-01-21,2023-01-30,3,Quality Issue
O000085,2023-08-07,2023-08-10,0,Machine Breakdown
O000086,2023-02-27,2023-03-04,3,Machine Breakdown
O000087,2023-10-19,2023-10-22,2,Machine Breakdown
O000088,2023-10-17,2023-10-25,2,Material Shortage
O000089,2023-07-03,2023-07-08,4,Machine Breakdown
O000090,2023-11-03,2023-11-06,4,Material Shortage
O000091,2023-02-16,2023-02-26,3,Quality Issue
O000092,2023-05-24,2023-05-28,0,Material Shortage
O000093,2023-10-07,2023-10-17,2,Machine Breakdown
O000094,2023-01-28,2023-02-02,2,None
O000095,2023-09-16,2023-09-19,4,Machine Breakdown
O000096,2023-03-12,2023-03-13,2,Material Shortage
O000097,2023-10-17,2023-10-25,2,Quality Issue
O000098,2023-07-29,2023-08-01,3,Quality Issue
O000099,2023-04-08,2023-04-14,1,None
O000100,2023-04-01,2023-04-03,3,Machine Breakdown
O000101,2023-01-03,2023-01-11,0,Quality Issue
O000102,2023-07-26,2023-08-03,1,Quality Issue
O000103,2023-08-18,2023-08-27,1,Machine Breakdown
O000104,2023-08-23,2023-09-01,2,None
O000105,2023-01-03,2023-01-07,2,Machine Breakdown
O000106,2023-05-26,2023-06-01,2,None
O000107,2023-08-12,2023-08-16,1,None
O000108,2023-01-19,2023-01-26,4,Quality Issue
O000109,2023-12-06,2023-12-08,0,None
O000110,2023-06-21,2023-06-29,3,None
O000111,2023-05-01,2023-05-11,1,None
O000112,2023-09-13,2023-09-22,1,Machine Breakdown
O000113,2023-05-12,2023-05-17,0,Material Shortage
O000114,2023-03-22,2023-03-26,1,Quality Issue
O000115,2023-06-16,2023-06-21,1,Material Shortage
O000116,2023-09-09,2023-09-16,4,None
O000117,2023-10-15,2023-10-17,3,None
O000118,2023-03-15,2023-03-25,0,Material Shortage
O000119,2023-03-26,2023-03-30,3,Machine Breakdown
O000120,2023-01-25,2023-01-29,4,Quality Issue
O000121,2023-09-27,2023-09-28,0,Material Shortage
O000122,2023-03-24,2023-03-26,2,Quality Issue
O000123,2023-11-20,2023-11-24,1,Quality Issue
O000124,2023-03-08,2023-03-09,4,Material Shortage
O000125,2023-07-18,2023-07-25,3,Material Shortage
O000126,2023-06-08,2023-06-09,3,Quality Issue
O000127,2023-08-07,2023-08-10,3,Machine Breakdown
O000128,2023-02-02,2023-02-08,4,Machine Breakdown
O000129,2023-11-07,2023-11-10,2,Quality Issue
O000130,2023-02-27,2023-03-07,0,None
O000131,2023-09-14,2023-09-17,2,Material Shortage
O000132,2023-04-17,2023-04-20,0,None
O000133,2023-07-11,2023-07-12,4,None
O000134,2024-01-03,2024-01-07,3,Material Shortage
O000135,2023-12-08,2023-12-16,0,Material Shortage
O000136,2023-11-10,2023-11-19,2,Machine Breakdown
O000137,2023-12-05,2023-12-15,3,Quality Issue
O000138,2023-05-14,2023-05-20,4,Machine Breakdown
O000139,2023-06-20,2023-06-25,3,Quality Issue
O000140,2023-07-03,2023-07-09,0,Machine Breakdown
O000141,2023-08-21,2023-08-24,2,Machine Breakdown
O000142,2023-08-30,2023-09-04,1,Machine Breakdown
O000143,2023-09-19,2023-09-24,1,Machine Breakdown
O000144,2023-12-10,2023-12-12,4,None
O000145,2023-05-02,2023-05-03,2,Quality Issue
O000146,2023-08-26,2023-08-29,1,Machine Breakdown
O000147,2023-10-14,2023-10-24,2,None
O000148,2023-12-13,2023-12-15,3,Material Shortage
O000149,2023-08-02,2023-08-08,1,Machine Breakdown
O000150,2023-08-14,2023-08-21,2,Quality Issue
O000151,2023-04-11,2023-04-14,3,Machine Breakdown
O000152,2023-02-14,2023-02-17,3,None
O000153,2023-11-14,2023-11-19,3,Material Shortage
O000154,2023-07-31,2023-08-03,4,None
O000155,2023-10-11,2023-10-14,4,Material Shortage
O000156,2023-08-27,2023-08-28,1,Quality Issue
O000157,2023-02-07,2023-02-17,2,Quality Issue
O000158,2023-10-20,2023-10-23,4,None
O000159,2023-10-25,2023-10-29,4,None
O000160,2023-01-14,2023-01-21,4,Machine Breakdown
O000161,2023-10-31,2023-11-02,0,Machine Breakdown
O000162,2023-01-07,2023-01-10,1,Quality Issue
O000163,2023-07-21,2023-07-24,2,Machine Breakdown
O000164,2023-01-19,2023-01-24,3,None
O000165,2023-07-11,2023-07-15,0,None
O000166,2023-05-07,2023-05-11,4,None
O000167,2023-07-30,2023-08-09,0,None
O000168,2023-03-19,2023-03-24,0,Machine Breakdown
O000169,2023-02-14,2023-02-18,3,None
O000170,2023-06-28,2023-07-02,3,Machine Breakdown
O000171,2023-11-27,2023-11-30,0,Material Shortage
O000172,2023-02-15,2023-02-19,3,Quality Issue
O000173,2023-01-13,2023-01-22,2,None
O000174,2023-07-02,2023-07-10,0,Quality Issue
O000175,2023-01-18,2023-01-19,1,Quality Issue
O000176,2023-04-14,2023-04-21,3,Quality Issue
O000177,2023-04-27,2023-05-02,0,None
O000178,2023-12-07,2023-12-17,2,Quality Issue
O000179,2023-07-24,2023-08-03,0,Material Shortage
O000180,2023-11-07,2023-11-13,3,Machine Breakdown
O000181,2023-03-05,2023-03-14,4,Machine Breakdown
O000182,2023-07-14,2023-07-23,3,Machine Breakdown
O000183,2023-08-18,2023-08-20,3,Machine Breakdown
O000184,2023-07-27,2023-08-05,1,Machine Breakdown
O000185,2023-04-22,2023-04-28,4,Quality Issue
O000186,2023-08-25,2023-08-26,2,Quality Issue
O000187,2023-09-30,2023-10-09,4,None
O000188,2023-07-13,2023-07-16,0,Machine Breakdown
O000189,2023-07-26,2023-08-05,0,Material Shortage
O000190,2023-12-19,2023-12-24,2,Material Shortage
O000191,2023-06-15,2023-06-20,2,Material Shortage
O000192,2023-05-31,2023-06-06,0,Quality Issue
O000193,2023-06-28,2023-07-06,3,Machine Breakdown
O000194,2023-01-24,2023-02-02,4,None
O000195,2023-08-22,2023-08-29,4,Material Shortage
O000196,2023-07-16,2023-07-17,4,Material Shortage
O000197,2023-09-24,2023-10-02,4,None
O000198,2023-03-31,2023-04-01,4,None
O000199,2023-04-11,2023-04-20,3,Material Shortage
O000200,2023-04-16,2023-04-25,2,Material Shortage
O000201,2023-12-09,2023-12-10,4,Machine Breakdown
O000202,2023-06-21,2023-06-29,3,Quality Issue
O000203,2023-06-09,2023-06-10,3,Machine Breakdown
O000204,2023-04-26,2023-04-30,4,Machine Breakdown
O000205,2023-03-14,2023-03-20,0,None
O000206,2023-05-08,2023-05-11,2,None
O000207,2023-10-30,2023-11-09,0,None
O000208,2023-08-28,2023-08-29,0,Machine Breakdown
O000209,2023-07-07,2023-07-14,4,None
O000210,2023-06-08,2023-06-15,4,Machine Breakdown
O000211,2023-06-24,2023-07-04,1,Material Shortage
O000212,2023-08-14,2023-08-19,0,Quality Issue
O000213,2023-08-18,2023-08-22,3,Machine Breakdown
O000214,2023-07-24,2023-07-29,4,Machine Breakdown
O000215,2023-05-17,2023-05-19,2,Machine Breakdown
O000216,2023-09-30,2023-10-08,0,Quality Issue
O000217,2023-04-01,2023-04-05,1,None
O000218,2023-05-03,2023-05-07,4,Material Shortage
O000219,2023-12-17,2023-12-23,3,Machine Breakdown
O000220,2023-02-27,2023-03-05,2,Machine Breakdown
O000221,2023-05-01,2023-05-06,0,Machine Breakdown
O000222,2023-12-18,2023-12-22,1,None
O000223,2023-02-05,2023-02-11,4,Machine Breakdown
O000224,2023-07-06,2023-07-10,3,Quality Issue
O000225,2023-09-21,2023-09-26,4,Material Shortage
O000226,2023-08-05,2023-08-08,4,None
O000227,2023-04-07,2023-04-12,4,Quality Issue
O000228,2023-02-17,2023-02-24,1,Machine Breakdown
O000229,2023-07-25,2023-07-29,3,None
O000230,2023-05-20,2023-05-24,4,Material Shortage
O000231,2023-09-28,2023-10-01,0,Quality Issue
O000232,2023-03-15,2023-03-23,1,Machine Breakdown
O000233,2023-10-22,2023-10-28,0,Machine Breakdown
O000234,2023-10-30,2023-10-31,1,Quality Issue
O000235,2023-06-13,2023-06-21,3,Material Shortage
O000236,2023-10-24,2023-10-29,0,None
O000237,2023-02-19,2023-02-25,2,Machine Breakdown
O000238,2023-12-30,2024-01-03,1,Material Shortage
O000239,2023-10-10,2023-10-14,2,Quality Issue
O000240,2023-08-27,2023-09-06,4,Machine Breakdown
O000241,2023-04-10,2023-04-19,3,Quality Issue
O000242,2023-10-31,2023-11-06,4,Quality Issue
O000243,2023-04-13,2023-04-22,0,Material Shortage
O000244,2023-10-01,2023-10-04,2,Quality Issue
O000245,2023-10-28,2023-11-07,0,Machine Breakdown
O000246,2023-09-03,2023-09-11,1,None
O000247,2023-01-25,2023-02-03,1,Quality Issue
O000248,2023-04-25,2023-05-02,0,Quality Issue
O000249,2023-09-16,2023-09-21,3,Material Shortage
O000250,2023-04-14,2023-04-22,3,Machine Breakdown
O000251,2023-08-20,2023-08-30,2,None
O000252,2023-08-06,2023-08-11,1,Machine Breakdown
O000253,2023-09-07,2023-09-10,4,Material Shortage
O000254,2023-10-06,2023-10-11,2,Machine Breakdown
O000255,2023-08-18,2023-08-25,4,Quality Issue
O000256,2023-07-29,2023-07-31,4,Quality Issue
O000257,2023-12-09,2023-12-12,2,None
O000258,2023-09-19,2023-09-20,0,None
O000259,2023-08-08,2023-08-15,0,Machine Breakdown
O000260,2023-08-19,2023-08-25,2,Machine Breakdown
O000261,2023-06-19,2023-06-21,0,Material Shortage
O000262,2023-10-05,2023-10-14,0,None
O000263,2023-06-27,2023-06-30,4,Machine Breakdown
O000264,2023-09-02,2023-09-05,0,Quality Issue
O000265,2023-06-08,2023-06-18,4,Machine Breakdown
O000266,2023-06-02,2023-06-07,0,Material Shortage
O000267,2023-07-04,2023-07-12,4,Material Shortage
O000268,2023-02-10,2023-02-14,0,Material Shortage
O000269,2023-10-15,2023-10-20,4,Material Shortage
O000270,2023-11-08,2023-11-12,3,None
O000271,2023-08-07,2023-08-09,2,Quality Issue
O000272,2023-03-19,2023-03-28,4,Machine Breakdown
O000273,2023-10-06,2023-10-11,3,Machine Breakdown
O000274,2023-08-07,2023-08-09,4,Material Shortage
O000275,2023-04-10,2023-04-18,1,Material Shortage
O000276,2023-04-03,2023-04-13,2,Quality Issue
O000277,2023-12-30,2024-01-04,2,Machine Breakdown
O000278,2023-02-13,2023-02-19,3,None
O000279,2023-12-14,2023-12-19,4,Material Shortage
O000280,2023-06-10,2023-06-20,3,Quality Issue
O000281,2023-03-23,2023-03-28,3,None
O000282,2023-09-05,2023-09-11,0,None
O000283,2023-08-24,2023-09-02,3,Machine Breakdown
O000284,2023-10-07,2023-10-15,3,Machine Breakdown
O000285,2023-02-18,2023-02-24,0,Material Shortage
O000286,2023-06-05,2023-06-06,1,Machine Breakdown
O000287,2023-01-12,2023-01-18,0,None
O000288,2023-11-13,2023-11-16,0,Quality Issue
O000289,2023-08-13,2023-08-21,2,Material Shortage
O000290,2023-05-08,2023-05-14,3,None
O000291,2023-12-26,2023-12-31,2,None
O000292,2023-02-08,2023-02-09,1,Quality Issue
O000293,2023-04-07,2023-04-16,2,Material Shortage
O000294,2023-10-15,2023-10-24,1,None
O000295,2023-07-03,2023-07-08,0,Machine Breakdown
O000296,2023-05-11,2023-05-20,3,Material Shortage
O000297,2023-09-25,2023-10-04,2,Quality Issue
O000298,2023-07-02,2023-07-03,0,Material Shortage
O000299,2023-04-23,2023-05-03,3,Quality Issue
O000300,2023-05-17,2023-05-25,2,Machine Breakdown
O000301,2023-11-05,2023-11-12,2,Material Shortage
O000302,2023-05-31,2023-06-10,4,None
O000303,2023-04-09,2023-04-14,1,None
O000304,2023-08-29,2023-09-07,3,Machine Breakdown
O000305,2023-07-04,2023-07-05,0,Material Shortage
O000306,2023-04-09,2023-04-10,2,None
O000307,2023-04-29,2023-05-02,1,Machine Breakdown
O000308,2023-09-23,2023-09-24,4,Quality Issue
O000309,2023-03-28,2023-04-02,4,Quality Issue
O000310,2023-08-30,2023-09-05,2,Quality Issue
O000311,2023-01-11,2023-01-16,1,None
O000312,2023-09-10,2023-09-11,0,None
O000313,2023-05-08,2023-05-15,4,Machine Breakdown
O000314,2023-12-04,2023-12-09,4,None
O000315,2023-03-21,2023-03-22,0,Machine Breakdown
O000316,2023-08-29,2023-09-03,0,None
O000317,2023-08-19,2023-08-25,0,None
O000318,2023-03-12,2023-03-19,0,Material Shortage
O000319,2023-05-03,2023-05-04,2,Quality Issue
O000320,2023-06-19,2023-06-28,3,Machine Breakdown
O000321,2023-02-25,2023-03-05,2,None
O000322,2023-08-12,2023-08-13,1,Machine Breakdown
O000323,2023-09-07,2023-09-10,0,None
O000324,2023-11-03,2023-11-12,0,Material Shortage
O000325,2023-12-18,2023-12-25,2,None
O000326,2023-12-21,2023-12-24,3,Material Shortage
O000327,2023-07-15,2023-07-16,1,Material Shortage
O000328,2023-11-06,2023-11-12,2,None
O000329,2023-11-02,2023-11-07,4,None
O000330,2023-09-21,2023-09-29,0,None
O000331,2023-02-16,2023-02-25,0,Quality Issue
O000332,2023-07-29,2023-08-06,1,Quality Issue
O000333,2023-08-15,2023-08-24,2,None
O000334,2023-02-11,2023-02-14,0,None
O000335,2023-06-29,2023-07-02,4,None
O000336,2023-08-22,2023-08-25,0,Quality Issue
O000337,2023-08-17,2023-08-22,3,None
O000338,2023-05-03,2023-05-07,4,Machine Breakdown
O000339,2023-11-22,2023-11-28,2,Quality Issue
O000340,2023-05-15,2023-05-24,0,Machine Breakdown
O000341,2023-09-11,2023-09-13,3,Quality Issue
O000342,2023-09-17,2023-09-20,0,Quality Issue
O000343,2023-02-24,2023-02-28,1,Quality Issue
O000344,2023-06-03,2023-06-11,3,Quality Issue
O000345,2023-10-04,2023-10-10,3,Quality Issue
O000346,2023-10-18,2023-10-19,0,None
O000347,2023-04-18,2023-04-21,4,Quality Issue
O000348,2023-01-02,2023-01-08,2,None
O000349,2023-01-03,2023-01-04,1,None
O000350,2023-11-06,2023-11-14,2,None
O000351,2023-05-14,2023-05-15,0,Quality Issue
O000352,2023-01-20,2023-01-26,0,Material Shortage
O000353,2023-02-11,2023-02-19,1,Quality Issue
O000354,2023-04-21,2023-04-24,2,Material Shortage
O000355,2023-05-08,2023-05-15,1,None
O000356,2023-03-08,2023-03-16,3,Quality Issue
O000357,2023-11-02,2023-11-07,2,Quality Issue
O000358,2023-01-19,2023-01-27,1,None
O000359,2023-03-09,2023-03-15,1,Machine Breakdown
O000360,2023-02-26,2023-03-05,2,Material Shortage
O000361,2023-08-09,2023-08-11,3,Machine Breakdown
O000362,2023-11-13,2023-11-20,2,Quality Issue
O000363,2023-03-30,2023-04-04,1,Quality Issue
O000364,2023-03-21,2023-03-31,2,Quality Issue
O000365,2023-08-10,2023-08-20,4,None
O000366,2023-05-26,2023-05-28,2,Machine Breakdown
O000367,2023-02-07,2023-02-15,4,None
O000368,2023-09-18,2023-09-22,2,Machine Breakdown
O000369,2023-09-15,2023-09-22,1,Machine Breakdown
O000370,2023-02-06,2023-02-15,1,Material Shortage
O000371,2023-12-28,2023-12-29,1,None
O000372,2023-10-29,2023-10-31,3,None
O000373,2023-01-18,2023-01-19,2,Quality Issue
O000374,2023-08-07,2023-08-16,4,Material Shortage
O000375,2023-04-02,2023-04-08,2,Machine Breakdown
O000376,2023-01-08,2023-01-12,0,None
O000377,2023-05-21,2023-05-31,3,Material Shortage
O000378,2023-03-14,2023-03-19,3,Quality Issue
O000379,2023-08-26,2023-09-02,1,Machine Breakdown
O000380,2023-01-21,2023-01-30,3,None
O000381,2023-05-22,2023-05-28,0,Quality Issue
O000382,2023-03-29,2023-04-02,4,Material Shortage
O000383,2023-06-29,2023-07-03,3,Quality Issue
O000384,2023-07-19,2023-07-25,1,Quality Issue
O000385,2023-01-12,2023-01-14,2,Material Shortage
O000386,2023-11-29,2023-12-05,0,Machine Breakdown
O000387,2023-07-04,2023-07-06,4,Quality Issue
O000388,2023-01-31,2023-02-03,1,Machine Breakdown
O000389,2023-08-02,2023-08-12,2,Material Shortage
O000390,2023-01-13,2023-01-14,2,Material Shortage
O000391,2023-09-22,2023-09-29,2,Quality Issue
O000392,2023-05-05,2023-05-15,0,Quality Issue
O000393,2023-09-21,2023-09-29,0,None
O000394,2023-09-06,2023-09-13,4,Quality Issue
O000395,2023-10-29,2023-11-04,1,Quality Issue
O000396,2023-07-19,2023-07-21,3,Material Shortage
O000397,2023-04-02,2023-04-11,2,Material Shortage
O000398,2023-02-27,2023-02-28,2,Material Shortage
O000399,2024-01-03,2024-01-12,0,None
O000400,2023-05-02,2023-05-03,2,Material Shortage
O000401,2023-08-22,2023-08-30,4,Material Shortage
O000402,2023-06-06,2023-06-08,0,Quality Issue
O000403,2023-05-09,2023-05-18,2,Quality Issue
O000404,2023-04-16,2023-04-17,2,None
O000405,2023-10-28,2023-11-05,0,None
O000406,2023-01-30,2023-02-08,3,Material Shortage
O000407,2023-03-10,2023-03-15,1,None
O000408,2023-08-27,2023-09-05,1,Material Shortage
O000409,2023-12-01,2023-12-04,1,Material Shortage
O000410,2023-09-22,2023-09-29,0,None
O000411,2023-08-07,2023-08-10,4,Material Shortage
O000412,2023-12-16,2023-12-25,1,None
O000413,2023-02-28,2023-03-02,2,Quality Issue
O000414,2023-04-08,2023-04-13,3,Machine Breakdown
O000415,2023-04-10,2023-04-11,1,Material Shortage
O000416,2023-11-08,2023-11-09,4,Material Shortage
O000417,2023-02-06,2023-02-07,2,Quality Issue
O000418,2023-01-21,2023-01-28,1,Machine Breakdown
O000419,2023-10-17,2023-10-24,2,Material Shortage
O000420,2023-11-05,2023-11-07,2,Quality Issue
O000421,2023-12-25,2024-01-03,4,Quality Issue
O000422,2023-10-10,2023-10-15,1,Quality Issue
O000423,2023-10-02,2023-10-06,3,Machine Breakdown
O000424,2023-07-24,2023-07-27,1,Machine Breakdown
O000425,2023-07-02,2023-07-11,2,Material Shortage
O000426,2023-10-26,2023-10-29,1,Quality Issue
O000427,2023-03-22,2023-03-24,2,None
O000428,2023-12-14,2023-12-19,0,Quality Issue
O000429,2023-03-25,2023-04-03,3,None
O000430,2023-06-09,2023-06-12,2,Machine Breakdown
O000431,2023-12-16,2023-12-24,1,None
O000432,2023-06-18,2023-06-26,4,Material Shortage
O000433,2023-06-22,2023-07-01,0,None
O000434,2023-09-14,2023-09-21,4,None
O000435,2023-02-17,2023-02-20,2,Material Shortage
O000436,2023-07-01,2023-07-11,1,Quality Issue
O000437,2023-03-16,2023-03-24,4,Machine Breakdown
O000438,2023-07-20,2023-07-30,1,Material Shortage
O000439,2023-01-13,2023-01-16,1,Machine Breakdown
O000440,2023-05-01,2023-05-02,0,None
O000441,2023-05-26,2023-06-04,1,None
O000442,2023-04-13,2023-04-20,4,Machine Breakdown
O000443,2023-12-21,2023-12-22,2,None
O000444,2023-12-31,2024-01-07,4,Quality Issue
O000445,2023-07-19,2023-07-22,2,Machine Breakdown
O000446,2023-12-25,2023-12-26,4,Quality Issue
O000447,2023-10-13,2023-10-23,4,Machine Breakdown
O000448,2023-06-26,2023-07-01,1,Machine Breakdown
O000449,2023-02-26,2023-03-05,4,Material Shortage
O000450,2023-02-05,2023-02-06,0,None
O000451,2023-09-01,2023-09-07,2,None
O000452,2023-08-24,2023-08-26,2,None
O000453,2023-12-22,2023-12-27,0,Machine Breakdown
O000454,2023-06-30,2023-07-08,1,Quality Issue
O000455,2023-11-13,2023-11-21,1,None
O000456,2024-01-05,2024-01-12,0,None
O000457,2023-10-19,2023-10-23,1,Machine Breakdown
O000458,2023-11-21,2023-11-29,3,Quality Issue
O000459,2023-07-24,2023-07-26,0,Material Shortage
O000460,2023-07-04,2023-07-13,4,Material Shortage
O000461,2023-01-19,2023-01-28,4,Quality Issue
O000462,2023-11-28,2023-12-01,2,None
O000463,2023-10-27,2023-10-31,3,Material Shortage
O000464,2023-02-14,2023-02-21,0,Material Shortage
O000465,2023-08-22,2023-08-25,0,None
O000466,2023-06-20,2023-06-23,4,None
O000467,2023-04-30,2023-05-07,2,None
O000468,2023-07-14,2023-07-23,0,None
O000469,2023-12-15,2023-12-20,1,Material Shortage
O000470,2023-03-09,2023-03-10,3,None
O000471,2023-10-14,2023-10-15,1,None
O000472,2023-12-05,2023-12-08,2,Quality Issue
O000473,2023-03-31,2023-04-06,1,None
O000474,2023-03-02,2023-03-07,1,Material Shortage
O000475,2023-02-24,2023-02-25,3,None
O000476,2023-07-22,2023-07-26,1,Machine Breakdown
O000477,2023-07-20,2023-07-24,1,Quality Issue
O000478,2023-08-19,2023-08-20,0,None
O000479,2023-09-09,2023-09-18,1,None
O000480,2023-12-19,2023-12-23,4,None
O000481,2023-07-27,2023-08-01,4,Quality Issue
O000482,2023-07-25,2023-07-30,4,Material Shortage
O000483,2023-02-09,2023-02-11,4,Quality Issue
O000484,2023-03-31,2023-04-10,3,Quality Issue
O000485,2023-11-02,2023-11-10,1,Machine Breakdown
O000486,2023-05-03,2023-05-07,4,Quality Issue
O000487,2023-10-04,2023-10-09,4,Quality Issue
O000488,2023-07-31,2023-08-04,2,Machine Breakdown
O000489,2023-03-07,2023-03-17,2,Material Shortage
O000490,2023-06-19,2023-06-23,2,None
O000491,2023-12-29,2024-01-03,2,None
O000492,2023-02-02,2023-02-09,4,Machine Breakdown
O000493,2023-11-14,2023-11-15,1,Quality Issue
O000494,2023-10-10,2023-10-15,3,Quality Issue
O000495,2023-11-27,2023-12-01,2,None
O000496,2023-09-02,2023-09-05,1,Quality Issue
O000497,2023-07-28,2023-08-06,1,None
O000498,2023-06-19,2023-06-27,2,Quality Issue
O000499,2023-01-25,2023-01-27,3,Machine Breakdown
O000500,2023-12-09,2023-12-19,3,None
O000501,2023-03-17,2023-03-24,0,Machine Breakdown
O000502,2023-08-30,2023-09-02,1,Quality Issue
O000503,2023-04-09,2023-04-15,2,None
O000504,2023-08-02,2023-08-08,1,Material Shortage
O000505,2023-09-23,2023-09-30,2,Machine Breakdown
O000506,2023-07-29,2023-08-08,0,Material Shortage
O000507,2023-05-23,2023-05-30,2,None
O000508,2023-08-07,2023-08-14,4,Machine Breakdown
O000509,2023-12-24,2024-01-03,1,None
O000510,2024-01-03,2024-01-13,1,Quality Issue
O000511,2023-03-21,2023-03-22,2,Machine Breakdown
O000512,2023-01-12,2023-01-13,1,Material Shortage
O000513,2023-08-23,2023-08-31,4,Quality Issue
O000514,2023-02-16,2023-02-22,2,Machine Breakdown
O000515,2023-01-21,2023-01-25,0,Quality Issue
O000516,2023-01-28,2023-02-03,4,Quality Issue
O000517,2023-03-30,2023-04-08,2,Quality Issue
O000518,2023-11-26,2023-12-04,4,Material Shortage
O000519,2023-07-24,2023-07-31,1,Material Shortage
O000520,2023-01-30,2023-02-07,4,Machine Breakdown
O000521,2023-07-13,2023-07-23,4,None
O000522,2023-04-13,2023-04-19,0,None
O000523,2023-06-01,2023-06-05,4,Machine Breakdown
O000524,2023-12-08,2023-12-17,1,None
O000525,2023-02-17,2023-02-18,2,Quality Issue
O000526,2023-08-11,2023-08-12,1,Material Shortage
O000527,2023-12-27,2023-12-30,4,None
O000528,2023-02-03,2023-02-13,0,Material Shortage
O000529,2023-04-08,2023-04-09,2,Quality Issue
O000530,2023-07-23,2023-07-28,0,None
O000531,2023-09-29,2023-10-09,3,Quality Issue
O000532,2023-11-14,2023-11-22,4,Material Shortage
O000533,2023-12-23,2023-12-31,1,Material Shortage
